,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-28,DL,Central Delhi,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
1,1,2021-11-28,DL,East Delhi,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
2,2,2021-11-28,DL,New Delhi,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
3,3,2021-11-28,DL,North Delhi,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
4,4,2021-11-28,DL,North East Delhi,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
5,5,2021-11-28,DL,North West Delhi,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
6,6,2021-11-28,DL,Shahdara,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
7,7,2021-11-28,DL,South Delhi,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
8,8,2021-11-28,DL,South East Delhi,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
9,9,2021-11-28,DL,South West Delhi,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
10,10,2021-11-28,DL,West Delhi,,,,,,,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
11,11,2021-11-28,DL,Unknown,,,,1440866.0,25097.0,1415481.0,,2021-11-29 10:23:15.287397,,,,1440866,25097,1415481,30825326
