"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 11-02-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","319","2227","255246","252037[577]","98.74","982[2]","1202","7298","944","4876146"
"2","Faridabad","130","929","125979","124311[303]","98.68","739","1753","8459","634","3702178"
"3","Hisar","79","325","61362","59871[99]","97.57","1166","835","1643","349","2200513"
"4","Sonepat","43","274","58070","57522[69]","99.06","274","1006","3113","176","2147357"
"5","Karnal","14","222","47956","47140[39]","98.30","594","974","4686","320","2218107"
"6","Panipat","18","147","35944","35141[17]","97.77","656","944","5492","133","1896205"
"7","Panchkula","56","261","43782","43110[42]","98.47","411[1]","486","1822","297","1041965"
"8","Ambala","42","386","40514","39591[108]","97.72","537[1]","846","2956","268","1985982"
"9","Sirsa","34","107","33133","32496[58]","98.08","530","791","2738","159","1833325"
"10","Rohtak","54","251","31462","30660[40]","97.45","534","665","5127","107","1544238"
"11","Yamunanagar","98","325","30124","29345[115]","97.41","454","789","6927","221","1772330"
"12","Bhiwani","61","272","26046","25112[95]","96.41","662","463","2405","133","1651548"
"13","Kurukshetra","22","186","26599","26030[74]","97.86","383","631","2885","208","1388229"
"14","Mahindergarh","24","168","24421","24093[76]","98.66","160","3289","2180","254","1287159"
"15","Jind","14","78","24207","23589[34]","97.45","540","837","2441","94","1589632"
"16","Rewari","17","205","24323","23894[57]","98.24","224","405","3199","243","1461821"
"17","Jhajjar","43","161","22942","22439[51]","97.81","336[1]","629","2333","102","1485185"
"18","Fatehabad","9","70","19940","19374[20]","97.16","496[2]","204","814","7","1162205"
"19","Kaithal","28","158","14118","13593[85]","96.28","367[1]","798","6364","132","1595217"
"20","Palwal","23","76","12257","12028[6]","98.13","153","758","1758","46","1413009"
"21","Charkhi Dadri","38","138","7098","6818[53]","96.06","142","127","1131","139","823016"
"22","Nuh","19","50","5988","5806[7]","96.96","132[2]","1503","4074","21","1162944"
"Haryana","","1185","7016","971511","954000[2025]","98.20","10472 [10]","19935","80510","4987","40238311"
