"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87613","21","85486","2106"
"2","SAS Nagar","68826","22","67735","1069"
"3","Jalandhar","63405","32","61877","1496"
"4","Patiala","48929","8","47563","1358"
"5","Amritsar","47388","21","45769","1598"
"6","Bathinda","41729","18","40669","1042"
"7","Hoshiarpur","30829","14","29829","986"
"8","Gurdaspur","22381","2","21578","801"
"9","Fazilka","20273","10","19735","528"
"10","Pathankot","18820","23","18377","420"
"11","Muktsar","18784","2","18258","524"
"12","Kapurthala","17854","4","17294","556"
"13","Sangrur","15764","5","14884","875"
"14","Mansa","15606","0","15226","380"
"15","Ferozepur","14350","10","13836","504"
"16","Faridkot","13927","6","13606","315"
"17","Ropar","12966","22","12520","424"
"18","SBS Nagar","11472","4","11080","388"
"19","FG Sahib","8878","4","8539","335"
"20","Moga","8677","3","8441","233"
"21","Tarn Taran","8045","2","7663","380"
"22","Barnala","5950","7","5699","244"
"","Total","602466","240","585664","16562"
