"S. No","Subject","Number"
"1","Total Number of people vaccinated on 25th Dec","4,99,681"
"2","First Dose on 25th Dec","35,461"
"3","Second Dose on 25th Dec","4,64,220"
"4","Cumulative Vaccination till 25th Dec","10,15,73,008"
"5","Cumulative Vaccination First Dose","6,42,62,633"
"6","Cumulative Vaccination Second Dose","3,73,10,375"
"7","Number of CVC (Common Vaccination Centres)","5,266"
"8","Cumulative AEFI cases reported","6,130"
"9","Vaccine wastage","-7%"
