"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2236","112712","1982","109471","26","3005","236"
"2","SAS Nagar","3866","99555","3199","97732","13","1161","662"
"3","Jalandhar","1865","80130","1433","77771","8","1948","411"
"4","Patiala","1472","63552","1242","61625","4","1715","212"
"5","Amritsar","823","60378","658","58366","3","1843","169"
"6","Bathinda","1012","51879","794","50237","1","1424","218"
"7","Hoshiarpur","718","41860","505","40237","8","1408","215"
"8","Gurdaspur","231","27158","175","26248","3","867","43"
"9","Pathankot","381","24883","318","24333","1","518","32"
"10","Fazilka","279","23711","260","23063","0","621","27"
"11","Muktsar","132","22684","111","22121","0","539","24"
"12","Kapurthala","344","22373","261","21703","1","593","77"
"13","Ropar","658","18596","469","17952","3","458","186"
"14","Ferozepur","298","18191","211","17571","2","539","81"
"15","Mansa","158","17383","132","16968","1","393","22"
"16","Faridkot","282","17117","235","16656","3","413","48"
"17","Sangrur","215","14649","197","13770","2","862","17"
"18","SBS Nagar","276","13678","210","13198","0","409","71"
"19","FG Sahib","469","12384","410","11890","1","437","57"
"20","Moga","126","11125","89","10820","3","269","36"
"21","Tarn Taran","87","10987","56","10561","1","399","27"
"22","Barnala","129","7629","113","7251","1","358","20"
"23","Malerkotla","46","4050","37","3828","2","214","8"
"","Total","16103","776664","13097","753372","87","20393","2899"
