District,Recovered,Deceased,Active
लखनऊ,242388,2653,16823
गौतम बिु नगर,72684,469,10430
गाज़ियाबाद,63727,462,8935
मरेठ,73831,908,7132
िाराणसी,86094,971,4392
आगरा,27515,458,3658
कानपरु नगर,82017,1908,2946
मरुादाबाद,40566,352,2838
प्रयागराज,78561,1091,2742
गोरखपरु,59369,850,2446
मजुफ्फरनगर,31908,271,2442
बलुदंशहर,20896,246,2087
सहारनपरु,33239,420,1975
मथरुा,21349,403,1969
झासी,36341,663,1910
बरेली,44394,377,1732
रामपरु,11998,148,1393
अलीगढ,22062,111,1371
शामली,13460,46,1044
बाराबकंी,20011,225,962
बबजनौर,15056,126,942
लखीमपरु-खीरी,24239,294,914
हापड़ु,12711,217,849
शाहजहांपरु,20188,444,768
हरदोई,13585,353,745
क्रिरोजाबाद,8820,135,741
राय बरेली,17010,343,726
बदाय,14979,101,711
बागपत,9430,141,705
मनैपरुी,10077,183,686
अमरोहा,16779,203,673
अयोध्या,17005,290,639
गाजीपरु,21593,285,574
सलु्तानपरु,14847,139,549
एटा,9999,99,536
बस्ती,11509,331,532
चदंौली,16031,358,520
सोनभद्र,16739,252,499
सीतापरु,12366,185,498
गोंडा,12121,272,468
ससद्धाथ नगर,9348,100,461
इटावा,13752,294,431
सभंल,9721,106,427
