"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","12,412"
"2","Number of persons tested positive today in Tamil Nadu","2,683"
"","Passengers returned from other countries  by 
International airport tested positive today","Ghana - 1 
UAE - 1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Karnataka - 2 
Delhi - 1 
Maharashtra - 1"
"","Passengers returned from other states / countries by 
Road tested positive today","Bangladesh - 17 
West Bengal - 10 
Assam - 3 
Andhra Pradesh - 3 
Maharashtra - 2 
Karnataka - 2 
Meghalaya - 1 
Telangana - 1 
Kerala - 1 
Bihar - 1 
Jharkhand - 1"
"","Total","2,731"
"3","Total Number of persons tested positive till date","27,55,587"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,03,798/ 
5,78,57,004@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,03,573/ 
5,69,16,542"
"6","No. of Male / Female / Transgender tested positive today","1,631/1,100/0"
"7","No. of Male / Female / Transgender tested positive till date","16,08,479/11,47,070/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","674/ 
27,06,370"
"10","Total number of deaths today/ till date","9(4 Private &  
5 Govt) /36,805"
