"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","610","37561","125","35652","1570","0","339","0"
"2","Ballari","1141","108302","518","100437","6174","0","1691","0"
"3","Belagavi","791","88195","282","81138","6097","1","960","0"
"4","Bengaluru Rural","828","74891","1287","66862","7128","1","901","0"
"5","Bengaluru Urban","22427","1648758","18734","1416078","216145","8","16534","1"
"6","Bidar","377","28017","321","25694","1913","0","406","4"
"7","Chamarajanagara","917","38669","158","33903","4246","1","509","11"
"8","Chikkaballapura","734","52115","596","46302","5370","2","442","1"
"9","Chikkamagaluru","251","54997","173","52743","1855","0","399","0"
"10","Chitradurga","445","42046","895","39165","2665","0","216","0"
"11","Dakshina 
Kannada","888","129934","904","122878","5325","4","1724","7"
"12","Davanagere","514","55472","314","52400","2462","1","610","0"
"13","Dharwada","1523","73941","944","66892","5718","0","1329","2"
"14","Gadag","318","28906","73","26632","1950","1","324","0"
"15","Hassana","2016","135053","2563","123808","9967","4","1276","2"
"16","Haveri","297","23495","120","21869","979","0","647","0"
"17","Kalaburagi","1007","71465","252","64767","5854","2","844","0"
"18","Kodagu","939","43215","379","39537","3337","0","340","1"
"19","Kolara","1547","59070","507","51057","7369","0","644","0"
"20","Koppala","279","38316","494","35888","1899","1","529","0"
"21","Mandya","2186","92941","2051","83719","8557","2","665","0"
"22","Mysuru","2797","211426","4054","192638","16328","3","2460","0"
"23","Raichuru","276","43291","111","40758","2195","1","338","0"
"24","Ramanagara","187","27956","204","25958","1667","2","331","0"
"25","Shivamogga","444","76114","285","71289","3727","1","1097","1"
"26","Tumakuru","2645","148223","3985","132026","15040","0","1157","0"
"27","Udupi","1392","89899","499","82737","6662","1","500","0"
"28","Uttara Kannada","747","64556","576","60530","3241","2","785","0"
"29","Vijayapura","212","38923","201","36769","1655","1","499","0"
"30","Yadagiri","170","28630","94","27610","814","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","48905","3654413","41699","3257769","357909","39","38705","30"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 26-01-2022 
 Page 5 of 84","","","","","","","","",""
