"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","175","40080","410","38323","1408","1","349","0"
"2","Ballari","425","113330","548","107647","3962","1","1719","2"
"3","Belagavi","1018","96384","472","87508","7893","3","983","0"
"4","Bengaluru Rural","147","78680","214","76197","1579","0","904","0"
"5","Bengaluru Urban","6039","1749104","25904","1680814","51645","15","16644","1"
"6","Bidar","106","29391","110","28365","610","0","412","4"
"7","Chamarajanagara","201","42505","443","39789","2188","0","517","11"
"8","Chikkaballapura","178","54884","369","52912","1518","2","453","1"
"9","Chikkamagaluru","73","56620","280","55110","1108","0","402","0"
"10","Chitradurga","177","44565","212","42036","2307","1","222","0"
"11","Dakshina 
Kannada","319","133907","669","129688","2435","4","1776","8"
"12","Davanagere","122","57107","219","55460","1031","0","616","0"
"13","Dharwada","393","82468","1302","76555","4574","1","1337","2"
"14","Gadag","81","30198","181","29073","794","0","331","0"
"15","Hassana","560","142086","1010","137439","3351","1","1294","2"
"16","Haveri","321","26120","445","24184","1279","0","657","0"
"17","Kalaburagi","289","75327","508","71116","3345","2","866","0"
"18","Kodagu","316","47410","166","44014","3051","0","344","1"
"19","Kolara","197","62287","416","60202","1431","1","654","0"
"20","Koppala","173","40630","251","38795","1301","2","534","0"
"21","Mandya","488","100077","808","96720","2667","1","690","0"
"22","Mysuru","944","225606","1969","217360","5724","10","2522","0"
"23","Raichuru","183","44898","340","43672","876","0","350","0"
"24","Ramanagara","65","29331","186","28480","508","2","343","0"
"25","Shivamogga","543","81233","416","76689","3425","3","1118","1"
"26","Tumakuru","656","157132","1100","149729","6223","0","1180","0"
"27","Udupi","201","94304","467","91362","2422","2","520","0"
"28","Uttara Kannada","313","70107","845","66607","2702","0","798","0"
"29","Vijayapura","191","40178","127","38758","916","1","504","0"
"30","Yadagiri","56","29739","212","28706","825","0","208","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","14950","3875724","40599","3713343","123098","53","39250","33"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
 
Date: 04-02-2022 
 Page 5 of 83","","","","","","","","",""
