"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","10,364"
"2","Number of persons tested positive today in Tamil Nadu","1,727"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 1"
"","Total","1,728"
"3","Total Number of persons tested positive till date","27,52,856"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,03,119/ 
5,77,53,206@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,898/ 
5,68,12,969"
"6","No. of Male / Female / Transgender tested positive today","1,012/716/0"
"7","No. of Male / Female / Transgender tested positive till date","16,06,848/11,45,970/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","662/ 
27,05,696"
"10","Total number of deaths today/ till date","6(1 Private &  
5 Govt) /36,796"
