"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4855","4402","22","4","427"
"Bageshwar","2158","2052","3","0","103"
"Chamoli","3340","3206","7","3","124"
"Champawat","1988","1956","3","2","27"
"Dehradun","38583","37734","193","204","452"
"Haridwar","14014","13720","19","30","245"
"Nainital","13139","12923","130","31","55"
"Pauri Garhwal","5570","4517","7","20","1026"
"Pithoragarh","2726","2532","36","4","154"
"Rudraprayag","3037","2857","38","2","140"
"Tehri Garhwal","2605","2139","10","8","448"
"U.S. Nagar","9290","8927","17","7","339"
"Uttarkashi","1908","1706","10","6","186"
"Total","103213","98671","495","321","3726"
