,Unnamed: 0,44,Unnamed: 1,बादा,Unnamed: 2,2,Unnamed: 3,12,Unnamed: 4,11986,Unnamed: 5,0,Unnamed: 6,166,Unnamed: 7,36,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,मजुफ्फरनगर,,2.0,,1.0,,38257.0,,0.0,,277.0,,36.0,,,,,
1,,46,,क्रिरोजाबाद,,1.0,,2.0,,10490.0,,0.0,,136.0,,35.0,,,,,
2,,47,,प्रतापगढ़,,4.0,,3.0,,16636.0,,0.0,,163.0,,35.0,,,,,
3,,48,,बबजनौर,,3.0,,6.0,,18242.0,,0.0,,139.0,,34.0,,,,,
4,,49,,इटावा,,1.0,,4.0,,15726.0,,0.0,,296.0,,34.0,,,,,
5,,50,,अयोध्या,,2.0,,5.0,,18616.0,,0.0,,292.0,,33.0,,,,,
6,,51,,भदोही,,0.0,,9.0,,8428.0,,0.0,,165.0,,33.0,,,,,
7,,52,,कानपरु देहात,,0.0,,25.0,,7079.0,,0.0,,110.0,,32.0,,,,,
8,,53,,बागपत,,2.0,,1.0,,10986.0,,0.0,,143.0,,31.0,,,,,
9,,54,,सतं कबीर नगर,,1.0,,1.0,,8799.0,,0.0,,101.0,,31.0,,,,,
10,,55,,कौशाम्बी,,1.0,,2.0,,4814.0,,0.0,,72.0,,30.0,,,,,
11,,56,,चदंौली,,5.0,,0.0,,17488.0,,0.0,,378.0,,26.0,,,,,
12,,57,,मनैपरुी,,2.0,,2.0,,11429.0,,0.0,,189.0,,25.0,,,,,
13,,58,,एटा,,1.0,,1.0,,12048.0,,0.0,,100.0,,24.0,,,,,
14,,59,,बस्ती,,1.0,,6.0,,12744.0,,0.0,,336.0,,23.0,,,,,
15,,60,,सभंल,,1.0,,1.0,,11003.0,,0.0,,109.0,,20.0,,,,,
16,,61,,गाजीपरु,,1.0,,4.0,,23836.0,,1.0,,295.0,,19.0,,,,,
17,,62,,औरैय्या,,0.0,,2.0,,10752.0,,0.0,,211.0,,18.0,,,,,
18,,63,,हार्रस,,0.0,,1.0,,3699.0,,0.0,,43.0,,16.0,,,,,
19,,64,,बदाय,,3.0,,2.0,,17885.0,,0.0,,101.0,,15.0,,,,,
20,,65,,बललया,,0.0,,0.0,,22494.0,,0.0,,245.0,,15.0,,,,,
21,,66,,कासगजं,,0.0,,0.0,,4861.0,,0.0,,55.0,,15.0,,,,,
22,,67,,मऊ,,1.0,,0.0,,8912.0,,0.0,,85.0,,15.0,,,,,
23,,68,,मरुादाबाद,,0.0,,1.0,,46045.0,,0.0,,366.0,,14.0,,,,,
24,,69,,शामली,,1.0,,2.0,,16664.0,,0.0,,48.0,,14.0,,,,,
25,,70,,हापड़ु,,2.0,,1.0,,15164.0,,0.0,,222.0,,12.0,,,,,
26,,71,,लमर्ापरु,,1.0,,1.0,,11931.0,,0.0,,123.0,,12.0,,,,,
27,,72,,चचत्रकट,,2.0,,0.0,,7723.0,,0.0,,79.0,,10.0,,,,,
28,,73,,बलरामपरु,,0.0,,23.0,,8095.0,,0.0,,139.0,,8.0,,,,,
29,,74,,रामपरु,,0.0,,1.0,,14594.0,,0.0,,153.0,,6.0,,,,,
30,,75,,महोबा,,0.0,,5.0,,4452.0,,0.0,,88.0,,3.0,,,,,
31,,Total,,,,,,,459.0,,879.0,,2035146.0,,2.0,,23435.0,,6366.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23435 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
