"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87750","39","85595","2116"
"2","SAS Nagar","69098","58","67966","1074"
"3","Jalandhar","63590","55","62034","1501"
"4","Patiala","49032","28","47642","1362"
"5","Amritsar","47454","7","45848","1599"
"6","Bathinda","41817","6","40764","1047"
"7","Hoshiarpur","31022","30","29995","997"
"8","Gurdaspur","22419","4","21612","803"
"9","Fazilka","20287","4","19752","531"
"10","Pathankot","19050","57","18560","433"
"11","Muktsar","18807","1","18282","524"
"12","Kapurthala","17907","18","17333","556"
"13","Sangrur","15772","2","14895","875"
"14","Mansa","15612","2","15229","381"
"15","Ferozepur","14481","2","13975","504"
"16","Faridkot","13959","4","13635","320"
"17","Ropar","13011","4","12579","428"
"18","SBS Nagar","11483","5","11089","389"
"19","FG Sahib","8913","6","8569","338"
"20","Moga","8685","1","8450","234"
"21","Tarn Taran","8080","5","7694","381"
"22","Barnala","5958","9","5705","244"
"","Total","604187","347","587203","16637"
