,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2022-08-30,TT,Andaman and Nicobar Islands,,,,10607,129,10457,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
1,2022-08-30,TT,Andhra Pradesh,,,,2336848,14733,2321432,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
2,2022-08-30,TT,Arunachal Pradesh,,,,77296,296,66290,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
3,2022-08-30,TT,Assam,,,,744297,8032,733365,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
4,2022-08-30,TT,Bihar,,,,848148,12293,834810,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
5,2022-08-30,TT,Chandigarh,,,,98788,1181,97304,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
6,2022-08-30,TT,Chhattisgarh,,,,1173574,14109,1158349,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
7,2022-08-30,TT,Dadra and Nagar Haveli and Daman and Diu,,,,11575,4,11570,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
8,2022-08-30,TT,Delhi,,,,1999240,26467,1970547,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
9,2022-08-30,TT,Goa,,,,256118,3963,251309,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
10,2022-08-30,TT,Gujarat,,,,1270070,11008,1257307,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
11,2022-08-30,TT,Haryana,,,,1051878,10683,1039413,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
12,2022-08-30,TT,Himachal Pradesh,,,,310879,4201,305672,,,2022-08-29 23:55:27.467980,,,,44436352,527874,43835852,885208552,2119105738
