,Unnamed: 0,Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,last_updated,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
10,10,2022-08-30,TT,Gujarat,1269845,11007,1256970,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,123270537,54337054,53814293,15119190,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,1817,6029,233526,241372,158,243,1,,,1332900000,Gujarat,67936000
11,11,2022-08-30,TT,Haryana,1051608,10682,1038898,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,45152052,23646136,19754725,1751191,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,1967,4312,10019,16298,311,580,3,,,1332900000,Haryana,28672000
12,12,2022-08-30,TT,Himachal Pradesh,310777,4199,305346,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,14691525,6623711,6280004,1787810,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,478,1058,24271,25807,134,241,0,,,1332900000,Himachal Pradesh,7300000
13,13,2022-08-30,TT,Jammu and Kashmir,477513,4782,471411,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,24273088,11360926,11722370,1189792,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,166,4092,19453,23711,57,286,0,,,1332900000,Jammu and Kashmir,13203000
14,14,2022-08-30,TT,Jharkhand,441925,5330,436396,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,42237135,23775853,17249442,1211840,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,2684,6253,11990,20927,22,62,0,,,1332900000,Jharkhand,37403000
15,15,2022-08-30,TT,Karnataka,4050070,40236,4002510,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,118490862,55103149,55011130,8376583,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,1095,3894,35298,40287,659,1192,2,,,1332900000,Karnataka,65798000
16,16,2022-08-30,TT,Kerala,6753218,70808,6673854,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,57205401,29118519,25169264,2917618,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,265,1398,5398,7061,1000,995,0,,,1332900000,Kerala,35125000
17,17,2022-08-30,TT,Ladakh,29204,230,28928,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,546489,237938,202401,106150,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,24,47,623,694,4,8,0,,,1332900000,Ladakh,293000
18,18,2022-08-30,TT,Lakshadweep,11415,52,11363,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,135407,61671,59963,13773,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,3,0,357,360,0,0,0,,,1332900000,Lakshadweep,68000
19,19,2022-08-30,TT,Maharashtra,8097294,148234,7937588,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,175846450,91482606,76131682,8232162,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,9019,20035,56040,85094,810,1012,5,,,1332900000,Maharashtra,122153000
20,20,2022-08-30,TT,Manipur,139682,2147,137479,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,3176526,1629473,1303657,243396,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,1147,1241,1447,3835,5,13,0,,,1332900000,Manipur,3103000
