"S. No","Subject","Number"
"1","Total Number of people vaccinated on 18th Dec","5,72,249"
"2","First Dose on 18th Dec","40,957"
"3","Second Dose on 18th Dec","5,31,292"
"4","Cumulative Vaccination till 18th Dec","9,89,26,413"
"5","Cumulative Vaccination First Dose","6,40,69,471"
"6","Cumulative Vaccination Second Dose","3,48,56,942"
"7","Number of CVC (Common Vaccination Centres)","5,598"
"8","Cumulative AEFI cases reported","6,053"
"9","Vaccine wastage","-7%"
