"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20070","19748","55","267"
"2","Chengalpattu","248198","243842","1698","2658"
"3","Chennai","780361","766391","4901","9069"
"4","Coimbatore","334915","331051","1246","2618"
"5","Cuddalore","74950","73825","230","895"
"6","Dharmapuri","36442","36083","76","283"
"7","Dindigul","38106","37215","226","665"
"8","Erode","133835","132727","374","734"
"9","Kallakurichi","36800","36549","36","215"
"10","Kancheepuram","96994","95418","274","1302"
"11","Kanyakumari","88421","87026","310","1085"
"12","Karur","29972","29548","52","372"
"13","Krishnagiri","60360","59732","258","370"
"14","Madurai","92284","90775","273","1236"
"15","Mayiladuthurai","26828","26376","122","330"
"16","Nagapattinam","25721","25262","84","375"
"17","Namakkal","68744","67989","221","534"
"18","Nilgiris","42539","42234","79","226"
"19","Perambalur","14817","14523","45","249"
"20","Pudukottai","34921","34347","148","426"
"21","Ramanathapuram","24930","24520","42","368"
"22","Ranipet","55169","54161","221","787"
"23","Salem","129140","126853","525","1762"
"24","Sivagangai","24515","24137","159","219"
"25","Tenkasi","33463","32818","155","490"
"26","Thanjavur","92909","91619","250","1040"
"27","Theni","51259","50451","275","533"
"28","Thirupathur","35873","35204","36","633"
"29","Thiruvallur","151770","149408","422","1940"
"30","Thiruvannamalai","67642","66804","153","685"
"31","Thiruvarur","48517","47856","188","473"
"32","Thoothukudi","66606","65900","258","448"
"33","Tirunelveli","64915","64091","379","445"
"34","Tiruppur","130708","129462","194","1052"
"35","Trichy","96951","95497","293","1161"
"36","Vellore","57735","56478","94","1163"
"37","Villupuram","55499","54923","209","367"
"38","Virudhunagar","58417","57340","522","555"
"39","Airport Surveillance 
(International)","1375","1365","9","1"
"40","Airport Surveillance 
(Domestic)","1147","1145","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,34,246","34,81,121","15,093","38,032"
