"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","939","110715","772","108261","15","2294","160"
"2","SAS Nagar","1531","97220","1244","95777","9","1157","286"
"3","Jalandhar","464","78729","344","77044","3","1581","104"
"4","Patiala","582","62601","477","61049","1","1458","94"
"5","Amritsar","276","59673","203","57911","2","1684","78"
"6","Bathinda","319","51186","243","50021","0","1088","77"
"7","Hoshiarpur","149","40987","126","39858","0","1096","33"
"8","Gurdaspur","81","27019","63","26136","1","865","18"
"9","Pathankot","157","24680","111","24144","0","495","41"
"10","Fazilka","117","23511","98","22937","0","545","29"
"11","Muktsar","46","22598","35","22045","0","539","14"
"12","Kapurthala","118","22148","90","21542","1","583","23"
"13","Ropar","157","18095","99","17582","1","456","57"
"14","Ferozepur","97","17996","65","17425","1","538","33"
"15","Mansa","73","17298","48","16884","1","393","21"
"16","Faridkot","142","16925","126","16567","1","339","19"
"17","Sangrur","41","14350","32","13605","0","735","10"
"18","SBS Nagar","70","13472","50","13038","0","409","25"
"19","FG Sahib","158","11991","108","11588","0","354","49"
"20","Moga","33","11020","26","10757","2","256","7"
"21","Tarn Taran","29","10925","20","10525","0","394","6"
"22","Barnala","45","7542","37","7180","0","349","13"
"23","Malerkotla","15","3983","14","3805","0","176","2"
"","Total","5639","764664","4431","745681","38","17784","1199"
