,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-21,DL,Central Delhi,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
1,1,2021-12-21,DL,East Delhi,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
2,2,2021-12-21,DL,New Delhi,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
3,3,2021-12-21,DL,North Delhi,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
4,4,2021-12-21,DL,North East Delhi,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
5,5,2021-12-21,DL,North West Delhi,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
6,6,2021-12-21,DL,Shahdara,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
7,7,2021-12-21,DL,South Delhi,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
8,8,2021-12-21,DL,South East Delhi,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
9,9,2021-12-21,DL,South West Delhi,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
10,10,2021-12-21,DL,West Delhi,,,,,,,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
11,11,2021-12-21,DL,Unknown,,,,1442390.0,25102.0,1416731.0,,2021-12-22 11:55:32.372132,,,,1442390,25102,1416731,32101668
