"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87790","65","85608","2117"
"2","SAS Nagar","69135","64","67997","1074"
"3","Jalandhar","63629","73","62055","1501"
"4","Patiala","49111","94","47654","1363"
"5","Amritsar","47467","13","45855","1599"
"6","Bathinda","41842","26","40767","1049"
"7","Hoshiarpur","31030","20","30013","997"
"8","Gurdaspur","22433","15","21614","804"
"9","Fazilka","20291","5","19755","531"
"10","Pathankot","19157","146","18577","434"
"11","Muktsar","18808","1","18283","524"
"12","Kapurthala","17919","15","17348","556"
"13","Sangrur","15773","3","14895","875"
"14","Mansa","15612","2","15229","381"
"15","Ferozepur","14482","1","13977","504"
"16","Faridkot","13962","3","13639","320"
"17","Ropar","13015","8","12579","428"
"18","SBS Nagar","11492","6","11096","390"
"19","FG Sahib","8917","7","8572","338"
"20","Moga","8688","4","8450","234"
"21","Tarn Taran","8081","2","7698","381"
"22","Barnala","5960","9","5707","244"
"","Total","604594","582","587368","16644"
