,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316687,14730,2304872,33494852
1,Anakapalli,0,0,0,0,2316687,14730,2304872,33494852
2,Anantapur,177611,0,0,0,2316687,14730,2304872,33494852
3,Annamayya,0,0,0,0,2316687,14730,2304872,33494852
4,Bapatla,0,0,0,0,2316687,14730,2304872,33494852
5,Chittoor,272394,0,0,0,2316687,14730,2304872,33494852
6,East Godavari,316586,0,0,0,2316687,14730,2304872,33494852
7,Eluru,3,0,0,0,2316687,14730,2304872,33494852
8,Guntur,203244,0,0,0,2316687,14730,2304872,33494852
9,Kakinada,0,0,0,0,2316687,14730,2304872,33494852
10,Konaseema,0,0,0,0,2316687,14730,2304872,33494852
11,Krishna,136896,0,0,0,2316687,14730,2304872,33494852
12,Kurnool,144244,0,0,0,2316687,14730,2304872,33494852
13,Nandyal,0,0,0,0,2316687,14730,2304872,33494852
14,NTR District,0,0,0,0,2316687,14730,2304872,33494852
15,Palnadu,0,0,0,0,2316687,14730,2304872,33494852
16,Parvathipuram Manyam,0,0,0,0,2316687,14730,2304872,33494852
17,Prakasam,155937,0,0,0,2316687,14730,2304872,33494852
18,S.P.S. Nellore,164374,0,0,0,2316687,14730,2304872,33494852
19,Sri Sathya Sai,0,0,0,0,2316687,14730,2304872,33494852
20,Srikakulam,133952,0,0,0,2316687,14730,2304872,33494852
21,Tirupati,1,0,0,0,2316687,14730,2304872,33494852
22,Visakhapatnam,190938,0,0,0,2316687,14730,2304872,33494852
23,Vizianagaram,92241,0,0,0,2316687,14730,2304872,33494852
24,West Godavari,193378,0,0,0,2316687,14730,2304872,33494852
25,Y.S.R. Kadapa,134888,0,0,0,2316687,14730,2304872,33494852
