"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","171","132","225644","0","12217","237861","399"
"Bageshwar","217","14","200073","0","5764","205837","364"
"Chamoli","410","189","277217","0","12245","289462","970"
"Champawat","484","43","229422","0","7605","237027","980"
"Dehradun","2939","2301","1846239","7","112478","1958717","911"
"Haridwar","2258","1971","2058486","1","51527","2110013","525"
"Nainital","987","501","527287","0","39250","566537","863"
"Pauri Garhwal","347","753","376173","1","17690","393863","1335"
"Pithoragarh","203","57","209585","0","10263","219848","371"
"Rudraprayag","275","135","186595","0","8801","195396","455"
"Tehri Garhwal","211","66","292454","0","15838","308292","551"
"US Nagar","679","413","885021","0","37878","922899","1368"
"Uttarkashi","338","252","330301","0","12559","342860","702"
"Total","9519","6827","7644497","9","344115","7988612","9794"
