"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","653","110429","449","107938","13","2292","199"
"2","SAS Nagar","1170","96859","824","95357","5","1153","349"
"3","Jalandhar","299","78569","221","76921","2","1580","68"
"4","Patiala","439","62460","335","60907","1","1458","95"
"5","Amritsar","182","59579","145","57853","2","1684","42"
"6","Bathinda","197","51065","108","49886","0","1088","91"
"7","Hoshiarpur","110","40950","99","39831","0","1096","23"
"8","Gurdaspur","58","26997","42","26115","1","865","17"
"9","Pathankot","108","24632","81","24114","0","495","23"
"10","Fazilka","76","23472","64","22903","0","545","24"
"11","Muktsar","29","22583","25","22035","0","539","9"
"12","Kapurthala","78","22108","58","21510","1","583","15"
"13","Ropar","81","18019","61","17544","0","455","20"
"14","Ferozepur","59","17958","40","17400","1","538","20"
"15","Mansa","44","17272","14","16850","1","393","29"
"16","Faridkot","109","16892","79","16520","0","338","34"
"17","Sangrur","25","14334","18","13591","0","735","8"
"18","SBS Nagar","37","13439","34","13022","0","409","8"
"19","FG Sahib","87","11921","59","11539","0","354","28"
"20","Moga","21","11008","16","10747","1","255","6"
"21","Tarn Taran","23","10920","12","10517","0","394","9"
"22","Barnala","13","7510","14","7157","0","349","4"
"23","Malerkotla","12","3980","13","3804","0","176","0"
"","Total","3910","762956","2811","744061","28","17774","1121"
