,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-06,MH,661,10,896,70179,16109,33385,0,0,6856.0,176.0,8859.0,615882.0,553214.0,488683.0,0.0,Ahmednagar,64,0,0,,357,509,0,0,762.0,26.0,823.0,,11252.0,10306.0,0,4543083,,,1 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,340081,7067,330934,,2479554,891047,0,1,2022-01-23 08:43:10.698760,122153000,2022-01-23 08:43:10.699593,,3631 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6616762,140372,6458045,63175053,67695928,31430817,0,3631,3631.0,1.0
1,1,1,2021-11-06,MH,661,10,896,70179,16109,33385,0,0,6856.0,176.0,8859.0,615882.0,553214.0,488683.0,0.0,Akola,0,0,0,,21,1,0,0,9.0,0.0,6.0,,9886.0,3679.0,0,1818617,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,58773,1425,57323,,769409,361410,0,4,2022-01-23 08:43:10.698760,122153000,2022-01-23 08:43:10.699593,,3631 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6616762,140372,6458045,63175053,67695928,31430817,0,3631,3631.0,4.0
2,2,2,2021-11-06,MH,661,10,896,70179,16109,33385,0,0,6856.0,176.0,8859.0,615882.0,553214.0,488683.0,0.0,Amravati,3,0,0,,277,465,0,0,4.0,0.0,0.0,,4824.0,4496.0,0,2887826,,,2 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,96234,1594,94618,,1245880,553237,0,2,2022-01-23 08:43:10.698760,122153000,2022-01-23 08:43:10.699593,,3631 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6616762,140372,6458045,63175053,67695928,31430817,0,3631,3631.0,2.0
3,3,3,2021-11-06,MH,661,10,896,70179,16109,33385,0,0,6856.0,176.0,8859.0,615882.0,553214.0,488683.0,0.0,Aurangabad,5,1,0,,314,394,0,0,139.0,1.0,118.0,,11164.0,8380.0,0,3695928,,,14 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,155443,4252,150733,,1782825,731438,0,14,2022-01-23 08:43:10.698760,122153000,2022-01-23 08:43:10.699593,,3631 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6616762,140372,6458045,63175053,67695928,31430817,0,3631,3631.0,14.0
4,4,4,2021-11-06,MH,661,10,896,70179,16109,33385,0,0,6856.0,176.0,8859.0,615882.0,553214.0,488683.0,0.0,Beed,5,0,3,,1601,1556,0,0,53.0,3.0,113.0,,21882.0,15773.0,0,2585962,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,103790,2809,100909,,1166853,500915,0,7,2022-01-23 08:43:10.698760,122153000,2022-01-23 08:43:10.699593,,3631 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6616762,140372,6458045,63175053,67695928,31430817,0,3631,3631.0,7.0
5,5,5,2021-11-06,MH,661,10,896,70179,16109,33385,0,0,6856.0,176.0,8859.0,615882.0,553214.0,488683.0,0.0,Bhandara,0,0,0,,8,70,0,0,1.0,0.0,1.0,,445.0,2016.0,0,1198810,,,10 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,60081,1123,58946,,826305,423588,0,10,2022-01-23 08:43:10.698760,122153000,2022-01-23 08:43:10.699593,,3631 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6616762,140372,6458045,63175053,67695928,31430817,0,3631,3631.0,10.0
6,6,6,2021-11-06,MH,661,10,896,70179,16109,33385,0,0,6856.0,176.0,8859.0,615882.0,553214.0,488683.0,0.0,Buldhana,2,0,2,,540,456,0,0,13.0,0.0,9.0,,15016.0,9993.0,0,2588039,,,6 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,85530,797,84718,,1151293,522784,0,6,2022-01-23 08:43:10.698760,122153000,2022-01-23 08:43:10.699593,,3631 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6616762,140372,6458045,63175053,67695928,31430817,0,3631,3631.0,6.0
7,7,7,2021-11-06,MH,661,10,896,70179,16109,33385,0,0,6856.0,176.0,8859.0,615882.0,553214.0,488683.0,0.0,Chandrapur,1,0,0,,20,60,0,0,6.0,2.0,0.0,,3553.0,4115.0,0,2194262,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,88972,1562,87387,,1338516,462781,0,4,2022-01-23 08:43:10.698760,122153000,2022-01-23 08:43:10.699593,,3631 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6616762,140372,6458045,63175053,67695928,31430817,0,3631,3631.0,4.0
8,8,8,2021-11-06,MH,661,10,896,70179,16109,33385,0,0,6856.0,176.0,8859.0,615882.0,553214.0,488683.0,0.0,Dhule,1,0,0,,124,188,0,0,4.0,0.0,8.0,,12964.0,10128.0,0,2048781,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,46176,654,45509,,1019850,485949,0,11,2022-01-23 08:43:10.698760,122153000,2022-01-23 08:43:10.699593,,3631 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6616762,140372,6458045,63175053,67695928,31430817,0,3631,3631.0,11.0
9,9,9,2021-11-06,MH,661,10,896,70179,16109,33385,0,0,6856.0,176.0,8859.0,615882.0,553214.0,488683.0,0.0,Gadchiroli,1,0,1,,108,45,0,0,2.0,0.0,2.0,,5753.0,3551.0,0,1071795,,,33 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,30442,669,29737,,545648,234504,0,33,2022-01-23 08:43:10.698760,122153000,2022-01-23 08:43:10.699593,,3631 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6616762,140372,6458045,63175053,67695928,31430817,0,3631,3631.0,33.0
