District,Recovered,Deceased,Active
लखनऊ,289597,2682,2504
झ सी,42852,674,900
गौतम बिु नगर,95965,488,752
िाराणसी,96388,989,629
लखीमपरु-खीरी,29073,298,547
प्रय गर ज,86399,1103,498
र य बरेली,20580,346,467
गोरखपरु,65293,862,396
गाज़ियाबाद,83375,473,384
हरदोई,16663,364,315
बरेली,49714,377,272
ब र बकंी,23170,226,266
श हजह ंपरु,23996,446,263
लललतपरु,14231,131,243
कानपरु नगर,90879,1922,223
सीत परु,15353,187,223
मरेठ,87652,930,208
मह र जगजं,14283,145,205
बद य,17671,101,191
पीलीभीत,12461,203,174
सलु्त नपरु,16578,144,171
कन्नौज,10544,124,160
उन्न व,16607,257,158
लसद्ध र् नगर,11321,102,151
बलुदंशहर,26055,250,150
ज लौन,13588,207,145
आगरा,35224,464,144
फतहेपरु,8010,141,135
गोंड,13902,283,134
आजमगढ़,19230,234,132
जौनपरु,24105,244,132
बहर इच,13174,178,129
अमरोह,19099,205,124
मजुफ्फरनगर,38139,277,118
अलीगढ,25296,113,116
देवररय,22154,228,116
अम्बडेकर नगर,5763,160,104
क नपरु देह त,6937,110,103
हापड़ु,15056,222,102
सोनभद्र,18452,257,102
गाजीपरु,23731,293,100
श्र वस्ती,5038,39,98
अमठेी,11275,145,96
