"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","676","495","41477","78","3999","45476","260"
"Bageshwar","550","296","22541","8","1994","24535","443"
"Chamoli","864","339","25083","8","2696","27779","1338"
"Champawat","718","598","32787","4","1700","34487","745"
"Dehradun","10329","8513","225405","193","30238","255643","4681"
"Haridwar","4856","4034","232114","63","12029","244143","1384"
"Nainital","1181","868","41767","49","10790","52557","474"
"Pauri Garhwal","1527","1647","43815","55","4813","48628","88"
"Pithoragarh","393","27","23460","10","2284","25744","1225"
"Rudraprayag","389","192","16552","37","2505","19057","485"
"Tehri Garhwal","520","208","17744","8","2155","19899","506"
"US Nagar","1725","2209","81320","92","8437","89757","392"
"Uttarkashi","475","363","18229","19","1436","19665","348"
"Total","24203","19789","822294","624","85076","907370","12369"
