"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","581","110357","390","107879","12","2291","187"
"2","SAS Nagar","1053","96742","747","95280","4","1152","310"
"3","Jalandhar","274","78544","207","76907","1","1579","58"
"4","Patiala","397","62418","310","60882","0","1457","79"
"5","Amritsar","164","59561","124","57832","2","1684","45"
"6","Bathinda","165","51033","98","49876","0","1088","69"
"7","Hoshiarpur","101","40941","95","39827","0","1096","18"
"8","Gurdaspur","47","26986","36","26109","1","865","12"
"9","Pathankot","93","24621","79","24112","0","495","14"
"10","Fazilka","67","23463","54","22893","0","545","25"
"11","Muktsar","24","22578","22","22032","0","539","7"
"12","Kapurthala","73","22108","54","21506","1","583","19"
"13","Ropar","68","18006","58","17541","0","455","10"
"14","Ferozepur","51","17950","36","17396","1","538","16"
"15","Mansa","30","17258","10","16846","1","393","19"
"16","Faridkot","96","16879","67","16508","0","338","33"
"17","Sangrur","23","14332","12","13585","0","735","12"
"18","SBS Nagar","33","13435","33","13021","0","409","5"
"19","FG Sahib","75","11909","45","11525","0","354","30"
"20","Moga","19","11006","15","10746","1","255","5"
"21","Tarn Taran","21","10918","12","10517","0","394","7"
"22","Barnala","11","7508","13","7156","0","349","3"
"23","Malerkotla","11","3979","11","3802","0","176","1"
"","Total","3477","762532","2528","743778","24","17770","984"
