"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","125","33","62336","3","4518","66848","56"
"Bageshwar","0","2","33983","0","2088","36067","0"
"Chamoli","47","35","46891","0","3200","50089","45"
"Champawat","174","9","60660","1","1911","62568","76"
"Dehradun","356","494","361598","8","33012","394475","56"
"Haridwar","173","181","303779","3","13104","316853","10"
"Nainital","388","348","80164","3","11332","91426","98"
"Pauri Garhwal","62","66","92279","1","5271","97543","12"
"Pithoragarh","71","19","39740","0","2559","42287","84"
"Rudraprayag","22","69","26673","0","2702","29375","9"
"Tehri Garhwal","161","94","34123","2","2355","36471","61"
"US Nagar","676","176","132342","3","8793","141111","77"
"Uttarkashi","135","12","36980","0","1641","38619","35"
"Total","2390","1538","1311548","24","92486","1403732","619"
