"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","193","1147377","0","19719"
"2","Thane","5","120906","0","2290"
"3","TMC","29","202563","0","2188"
"4","Navi Mumbai","39","180689","1","2096"
"5","KDMC","15","180022","0","2978"
"6","Ulhasnagar MC","2","27282","0","686"
"7","Bhivandi Nijampur MC","0","13409","0","496"
"8","Mira Bhayandar MC","4","79816","1","1236"
"9","Palghar","12","65680","0","1244"
"10","Vasai Virar MC","5","102604","0","2176"
"11","Raigad","34","144248","0","3481"
"12","Panvel MC","21","111232","0","1487"
"","Mumbai circle total","359","2375828","2","40077"
"13","Nashik","12","186197","0","3817"
"14","Nashik MC","23","281066","0","4756"
"15","Malegaon MC","0","11148","0","345"
