"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
06-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","7","181466","180489[8]","99.46","922","55","1570","5563","3594661"
"2","Faridabad","1","99908","99175","99.27","716","17","498","2848","2513741"
"3","Hisar","0","53995","52859","97.90","1136","0","572","2669","1333344"
"4","Sonepat","0","47138","46884","99.46","254","0","571","1697","1412338"
"5","Karnal","1","40038","39484","98.62","552","2","121","1673","1460284"
"6","Panipat","0","31150","30511","97.95","638","1","650","1615","1112368"
"7","Panchkula","1","30775","30388[1]","98.74","379","8","110","654","741216"
"8","Ambala","0","30150","29641","98.31","509","0","141","725","1454163"
"9","Sirsa","0","29282","28774","98.27","508","0","466","1260","1069663"
"10","Rohtak","1","25904","25351","97.87","534","2","915","2388","991464"
"11","Yamunanagar","2","24633","24217","98.31","414","2","0","0","1176323"
"12","Bhiwani","0","22409","21757","97.09","652","0","605","5219","1074302"
"13","Kurukshetra","0","22148","21791","98.39","357","0","105","449","861987"
"14","Mahindergarh","0","21689","21534","99.29","155","0","401","1466","848065"
"15","Jind","0","21209","20676","97.49","533","0","1419","2559","968459"
"16","Rewari","1","20328","20106","98.91","221","1","375","1710","947968"
"17","Jhajjar","0","18849","18515","98.23","328","0","809","2019","989699"
"18","Fatehabad","0","17875","17394","97.31","481","0","176","1179","779083"
"19","Kaithal","0","11244","10898","96.92","346","0","382","1289","838537"
"20","Palwal","0","11026","10872","98.60","153","1","229","976","836326"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","124","1849","633223"
"22","Nuh","0","5014","4891","97.55","123","0","173","282","440544"
"Total","","14","771308","761146[9]","98.68","10050","89","10412","40089","26077758"
