"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35187","0","34852","2","0","333","0"
"2","Ballari","5","97851","0","96057","107","0","1687","0"
"3","Belagavi","8","80132","2","79095","89","0","948","0"
"4","Bengaluru Rural","4","62153","1","61227","34","0","892","0"
"5","Bengaluru Urban","565","1262962","104","1239720","6846","3","16395","1"
"6","Bidar","0","24352","0","23943","1","0","404","4"
"7","Chamarajanagara","1","33119","5","32595","9","0","504","11"
"8","Chikkaballapura","0","44008","1","43562","13","0","432","1"
"9","Chikkamagaluru","3","51455","4","51029","28","0","398","0"
"10","Chitradurga","2","36772","7","36550","11","0","211","0"
"11","Dakshina 
Kannada","11","116352","8","114506","146","0","1693","7"
"12","Davanagere","1","51034","0","50412","14","0","608","0"
"13","Dharwada","8","61508","4","60144","37","0","1325","2"
"14","Gadag","0","26074","0","25755","0","0","319","0"
"15","Hassana","17","112332","0","110972","96","0","1262","2"
"16","Haveri","0","21961","0","21318","0","0","643","0"
"17","Kalaburagi","3","61983","0","61147","13","0","823","0"
"18","Kodagu","12","37754","28","37199","216","0","338","1"
"19","Kolara","5","47149","6","46438","68","0","643","0"
"20","Koppala","0","35209","0","34672","9","0","528","0"
"21","Mandya","8","73956","2","73256","45","0","655","0"
"22","Mysuru","16","180266","21","177741","97","0","2428","0"
"23","Raichuru","0","39992","0","39658","1","0","333","0"
"24","Ramanagara","0","24222","0","23895","4","0","323","0"
"25","Shivamogga","3","69730","3","68561","79","0","1090","0"
"26","Tumakuru","6","121338","30","120127","69","0","1142","0"
"27","Udupi","19","77103","6","76510","102","0","491","0"
"28","Uttara Kannada","6","56668","20","55821","72","0","775","0"
"29","Vijayapura","3","36298","0","35789","14","0","495","0"
"30","Yadagiri","1","27549","0","27342","1","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","707","3006505","252","2959926","8223","3","38327","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 30-12-2021 
 Page 5 of 8","","","","","","","","",""
