"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 22-01-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","2595","20113","232839","211783[7786]","90.96","943[2]","3003","4135","1994","4720876"
"2","Faridabad","1030","11537","118709","106448[1109]","89.67","724[2]","3338","8367","645","3519388"
"3","Hisar","398","1713","57566","54712[329]","95.04","1141[1]","795","1035","146","2139680"
"4","Sonepat","604","2727","54032","51047[799]","94.48","258","1012","1246","162","2080247"
"5","Karnal","340","2762","45898","42568[386]","92.74","568","865","833","193","2149862"
"6","Panipat","249","1724","34352","31988[123]","93.12","640","976","2175","115","1816533"
"7","Panchkula","546","2367","39831","37080[290]","93.09","384","732","880","585","1004753"
"8","Ambala","492","3973","37716","33221[501]","88.08","522[1]","707","1255","497","1930072"
"9","Sirsa","249","1044","31337","29782[130]","95.04","511","1014","1667","175","1787597"
"10","Rohtak","247","1319","29193","27323[192]","93.59","534","633","1188","63","1470031"
"11","Yamunanagar","229","1090","27321","25800[262]","94.43","431[3]","1167","2290","158","1677329"
"12","Bhiwani","229","1009","24022","22359[78]","93.08","654","834","945","83","1606356"
"13","Kurukshetra","308","1082","24680","23235[59]","94.15","363[2]","641","2878","108","1312083"
"14","Mahindergarh","110","502","22596","21938[84]","97.09","156","291","784","198","1220959"
"15","Jind","252","840","22924","21549[115]","94.00","535","1205","2942","27","1530583"
"16","Rewari","184","1021","22683","21441[209]","94.52","221","342","604","142","1415524"
"17","Jhajjar","146","815","21328","20179[135]","94.61","328","768","992","107","1436063"
"18","Fatehabad","155","563","18936","17888[80]","94.47","485","443","772","48","1132309"
"19","Kaithal","175","950","12685","11385[92]","89.75","350","428","1445","107","1508817"
"20","Palwal","39","226","11374","10995[10]","96.67","153","1244","3814","55","1346154"
"21","Charkhi Dadri","114","377","5821","5305[49]","91.14","139","145","2363","55","793834"
"22","Nuh","62","178","5460","5157[8]","94.45","125","1810","5103","30","1034827"
"Haryana","","8753","57932","901303","833183[12826]","92.44","10165[11]","22393","47713","5693","38633877"
