"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20094","19777","50","267"
"2","Chengalpattu","248925","244903","1364","2658"
"3","Chennai","781943","768517","4357","9069"
"4","Coimbatore","335590","331764","1208","2618"
"5","Cuddalore","75069","73954","220","895"
"6","Dharmapuri","36498","36128","87","283"
"7","Dindigul","38245","37338","242","665"
"8","Erode","134072","132923","415","734"
"9","Kallakurichi","36822","36585","22","215"
"10","Kancheepuram","97189","95726","161","1302"
"11","Kanyakumari","88573","87207","281","1085"
"12","Karur","30004","29584","48","372"
"13","Krishnagiri","60520","59865","285","370"
"14","Madurai","92409","90942","231","1236"
"15","Mayiladuthurai","26888","26446","112","330"
"16","Nagapattinam","25751","25324","52","375"
"17","Namakkal","68864","68119","211","534"
"18","Nilgiris","42579","42283","70","226"
"19","Perambalur","14835","14538","48","249"
"20","Pudukottai","34983","34433","124","426"
"21","Ramanathapuram","24944","24550","26","368"
"22","Ranipet","55350","54337","226","787"
"23","Salem","129411","127158","491","1762"
"24","Sivagangai","24615","24235","161","219"
"25","Tenkasi","33539","32905","144","490"
"26","Thanjavur","93015","91767","208","1040"
"27","Theni","51427","50559","335","533"
"28","Thirupathur","35894","35224","37","633"
"29","Thiruvallur","152031","149896","195","1940"
"30","Thiruvannamalai","67744","66973","86","685"
"31","Thiruvarur","48605","47969","163","473"
"32","Thoothukudi","66726","66074","204","448"
"33","Tirunelveli","65092","64330","317","445"
"34","Tiruppur","130845","129574","219","1052"
"35","Trichy","97069","95683","225","1161"
"36","Vellore","57779","56533","83","1163"
"37","Villupuram","55620","55058","195","367"
"38","Virudhunagar","58720","57563","602","555"
"39","Airport Surveillance 
(International)","1377","1372","4","1"
"40","Airport Surveillance 
(Domestic)","1147","1145","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,41,231","34,89,689","13,510","38,032"
