"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","2","40671","4","40292","12","0","367","0"
"2","Ballari","0","115462","2","113595","104","1","1761","2"
"3","Belagavi","4","100064","65","98976","88","0","998","2"
"4","Bengaluru Rural","0","79264","9","78317","41","0","906","0"
"5","Bengaluru Urban","106","1778778","370","1759118","2735","4","16924","1"
"6","Bidar","0","29798","0","29367","8","0","419","4"
"7","Chamarajanagara","1","43599","4","43029","35","0","524","11"
"8","Chikkaballapura","5","55601","90","55110","31","0","459","1"
"9","Chikkamagaluru","4","57217","11","56762","49","0","406","0"
"10","Chitradurga","2","46183","10","45781","165","0","237","0"
"11","Dakshina 
Kannada","2","135409","16","133484","78","0","1837","10"
"12","Davanagere","5","57526","3","56860","43","0","623","0"
"13","Dharwada","1","84023","7","82613","31","2","1376","3"
"14","Gadag","3","30573","1","30231","7","0","335","0"
"15","Hassana","6","143834","9","142488","40","1","1304","2"
"16","Haveri","0","26827","7","26153","6","0","668","0"
"17","Kalaburagi","5","76549","2","75600","71","0","878","0"
"18","Kodagu","3","49224","7","48784","87","0","352","1"
"19","Kolara","3","62957","7","62266","27","0","664","0"
"20","Koppala","0","41275","5","40714","23","0","538","0"
"21","Mandya","3","101464","8","100735","24","1","705","0"
"22","Mysuru","9","229295","0","226640","99","0","2556","0"
"23","Raichuru","1","45441","11","45043","38","0","360","0"
"24","Ramanagara","1","29768","9","29407","14","1","347","0"
"25","Shivamogga","6","83240","88","81974","137","0","1128","1"
"26","Tumakuru","3","159748","45","158458","76","1","1214","0"
"27","Udupi","7","95567","7","94955","66","1","546","0"
"28","Uttara Kannada","5","71121","11","70288","25","0","808","0"
"29","Vijayapura","0","40989","7","40447","27","0","515","0"
"30","Yadagiri","1","29950","1","29719","20","0","211","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","188","3941453","816","3897239","4207","12","39969","38"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 02-03-2022 
 Page 5 of 8","","","","","","","","",""
