,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7651,7518,129,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,494119,293998,200121,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,667,8347,9014,0,1,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2066065,2047047,14369,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,53305600,32955532,20350068,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,994246,1527105,2521351,349,535,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55154,54765,280,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,1306124,771833,534291,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,2637,18608,21245,11,10,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,610433,600738,5996,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,28183485,20152542,8030943,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,216639,662812,879451,283,371,4,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726090,716381,9661,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,67945798,49753704,18192094,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,1082183,1857869,2940052,5,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65346,64492,820,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,1471523,925824,545699,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,2804,16724,19528,6,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1006020,992127,13576,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,22130188,14828285,7301903,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,279860,438519,718379,35,17,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10682,10672,4,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,1030985,660750,370235,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,2085,10817,12902,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1439825,1414385,25091,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,20456718,13043164,7413554,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,120104,208090,328194,37,22,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,178085,174339,3364,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,2158706,1259996,898710,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,4752,27314,32066,22,50,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
10,Gujarat,826557,816260,10089,2021-10-31,TT,34273300,458186,33655842,2021-11-04 15:58:31.802629,608319915,2021-10-30 00:00:00,1135142,1061722126,733171855,328550271,70629081,44720370,25908711,https://www.icmr.gov.in/,12830,446,14667,19650165,12463609,32113774,263867,1366154,1630021,31,14,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363439.857142857,1340160.857142857,16386.14285714286,0,0,0,,,1332900000,Gujarat,67936000
