"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1144","110920","912","108401","17","2296","223"
"2","SAS Nagar","1800","97489","1463","95996","11","1159","334"
"3","Jalandhar","575","78840","416","77116","3","1581","143"
"4","Patiala","689","62704","565","61137","1","1458","109"
"5","Amritsar","329","59726","265","57973","2","1684","69"
"6","Bathinda","398","51265","292","50070","0","1088","107"
"7","Hoshiarpur","173","41011","152","39884","1","1097","30"
"8","Gurdaspur","94","27026","70","26143","1","865","18"
"9","Pathankot","190","24706","143","24176","0","495","35"
"10","Fazilka","132","23526","120","22959","0","545","22"
"11","Muktsar","57","22609","47","22057","0","539","13"
"12","Kapurthala","140","22170","104","21556","1","583","31"
"13","Ropar","197","18135","133","17616","1","456","63"
"14","Ferozepur","123","18022","98","17458","2","539","25"
"15","Mansa","90","17315","69","16905","1","393","17"
"16","Faridkot","162","16945","143","16584","1","339","22"
"17","Sangrur","70","14379","53","13626","0","735","18"
"18","SBS Nagar","100","13502","63","13051","0","409","42"
"19","FG Sahib","192","12025","148","11628","0","354","43"
"20","Moga","38","11025","32","10763","2","256","6"
"21","Tarn Taran","36","10932","23","10528","0","394","10"
"22","Barnala","62","7559","49","7192","0","349","18"
"23","Malerkotla","23","3991","19","3810","0","176","5"
"","Total","6814","765822","5379","746629","44","17790","1403"
