"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","48","133","69113","2","4839","73946","0"
"Bageshwar","97","97","39175","0","2155","41326","17"
"Chamoli","53","31","51138","4","3337","54473","0"
"Champawat","69","90","64798","4","1984","66779","0"
"Dehradun","622","562","407206","30","38440","445511","41"
"Haridwar","218","208","322490","3","13983","336443","21"
"Nainital","291","248","103220","25","13034","116184","13"
"Pauri Garhwal","164","216","105817","3","5566","111376","8"
"Pithoragarh","25","21","44226","11","2708","46922","0"
"Rudraprayag","61","34","30475","31","3027","33502","9"
"Tehri Garhwal","184","158","46039","2","2599","48631","11"
"US Nagar","501","502","153299","6","9268","162543","39"
"Uttarkashi","63","123","46689","5","1903","48590","0"
"Total","2396","2423","1483685","126","102843","1586226","159"
