"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 03-04-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","47","185","261030","259839[27]","99.54","1006","495","796","349","5071276"
"2","Faridabad","0","29","127056","126288[3]","99.40","739","279","328","158","3865652"
"3","Hisar","0","0","62047","60872[1]","98.11","1175","42","168","27","2294324"
"4","Sonepat","5","10","58547","58261[1]","99.51","276","38","166","56","2223218"
"5","Karnal","0","1","48172","47575[2]","98.76","596","11","36","21","2303499"
"6","Panipat","0","1","36059","35386","98.13","672","112","256","27","1990978"
"7","Panchkula","1","4","44134","43716[1]","99.05","414","54","3","0","1069549"
"8","Ambala","0","0","40758","40216","98.67","542","86","170","18","2051089"
"9","Sirsa","0","0","33372","32833","98.38","539","2","22","1","1893392"
"10","Rohtak","0","2","31823","31267","98.25","537","38","167","29","1648240"
"11","Yamunanagar","0","0","30647","30192","98.52","455","168","71","18","1874461"
"12","Bhiwani","1","1","26487","25821[4]","97.49","665","20","39","9","1714036"
"13","Kurukshetra","0","0","26822","26425","98.52","397","4","33","1","1468796"
"14","Mahindergarh","0","0","24754","24589","99.33","165","203","78","13","1342449"
"15","Jind","0","2","24348","23804","97.77","542","20","96","8","1655081"
"16","Rewari","0","0","24589","24365","99.09","224","32","7","12","1518993"
"17","Jhajjar","0","0","23426","23070","98.48","350","46","49","5","1537130"
"18","Fatehabad","0","1","20055","19556","97.51","498","2","10","0","1181151"
"19","Kaithal","0","2","14228","13855","97.38","371","2","38","0","1690467"
"20","Palwal","0","5","13475","13300","98.70","170","43","91","1","1483651"
"21","Charkhi Dadri","0","3","7426","7278","98.01","145","8","18","14","852041"
"22","Nuh","0","2","6108","5967","97.69","139","5","18","0","1216885"
"Haryana","","54","248","985363","974475[39]","98.90","10617","1710","2660","767","41946358"
