"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
16-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","14","181915","180886[10]","99.43","926","103","1659","6245","4061209"
"2","Faridabad","4","100016","99258[3]","99.24","717","41","1786","9181","2904108"
"3","Hisar","0","54002","52865","97.89","1137","0","1196","5907","1553734"
"4","Sonepat","0","47145","46891","99.46","254","0","964","5161","1637483"
"5","Karnal","0","40052","39492","98.60","554","6","1103","6084","1687244"
"6","Panipat","2","31158","30517","97.94","638","3","1245","5080","1381660"
"7","Panchkula","6","30886","30474[1]","98.67","380","32","349","1794","833852"
"8","Ambala","1","30156","29645[2]","98.31","509","2","611","7014","1680083"
"9","Sirsa","0","29298","28788[1]","98.26","508","2","1383","4648","1309241"
"10","Rohtak","0","25922","25366","97.86","534","5","1010","3496","1169875"
"11","Yamunanagar","1","24659","24238","98.29","414","7","426","3997","1336065"
"12","Bhiwani","0","22411","21758","97.09","652","1","387","4489","1322123"
"13","Kurukshetra","0","22161","21800[1]","98.37","357","4","1061","6536","1013097"
"14","Mahindergarh","0","21689","21534","99.29","155","0","395","2677","988042"
"15","Jind","0","21210","20677","97.49","533","0","1694","4730","1160469"
"16","Rewari","0","20329","20108","98.91","221","0","479","3539","1146448"
"17","Jhajjar","0","18850","18516","98.23","328","0","629","3129","1155950"
"18","Fatehabad","0","17880","17398","97.30","482","0","320","3023","882632"
"19","Kaithal","0","11251","10901[1]","96.89","346","4","1495","7045","1053627"
"20","Palwal","0","11031","10877[2]","98.60","153","1","1354","3809","1055347"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","150","606","692306"
"22","Nuh","0","5014","4891","97.55","123","0","1847","2418","773379"
"Total","","28","772114","761820[21]","98.67","10060","211","21543","100608","30797974"
