"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","52","39","472"
"Kollam","16","8","122"
"Pathanamthitta","13","23","146"
"Alappuzha","15","16","102"
"Kottayam","36","54","309"
"Idukki","9","13","81"
"Ernakulam","73","68","678"
"Thrissur","19","27","30"
"Palakkad","2","2","51"
"Malappuram","9","12","117"
"Kozhikode","30","39","193"
"Wayanad","5","7","45"
"Kannur","9","10","33"
"Kasaragod","3","5","19"
"Total","291","323","2398"
