"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","8980","9017","57486"
"Kollam","2667","577","14501"
"Pathanamthitta","1723","1146","9584"
"Alappuzha","1564","567","11386"
"Kottayam","2216","1225","17197"
"Idukki","1433","415","9617"
"Ernakulam","11091","2901","46854"
"Thrissur","2779","5086","21600"
"Palakkad","2137","835","14538"
"Malappuram","2371","698","14679"
"Kozhikode","5581","3229","26516"
"Wayanad","941","260","5380"
"Kannur","1336","1494","11065"
"Kasaragod","630","511","4235"
"Total","45449","27961","264638"
