"District","Persons under 
observation as 
on today","Persons under 
home/institutional 
quarantine as on today","Total persons under 
hospital Isolation as 
on today","Persons 
hospitalized 
today"
"Thiruvananthapuram","103025","101257","1768","283"
"Kollam","29042","28526","516","75"
"Pathanamthitta","14604","13950","654","40"
"Alappuzha","22282","22014","268","37"
"Kottayam","32769","32003","766","0"
"Idukki","10571","10491","80","9"
"Ernakulam","56642","54970","1672","119"
"Thrissur","30064","29320","744","155"
"Palakkad","18665","18283","382","57"
"Malappuram","23680","23321","359","58"
"Kozhikode","29482","28670","812","93"
"Wayanad","16678","16472","206","56"
"Kannur","18324","17993","331","103"
"Kasaragod","11936","11611","325","13"
"Total","417764","408881","8883","1098"
