"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87671","19","85541","2111"
"2","SAS Nagar","68974","48","67854","1072"
"3","Jalandhar","63514","42","61973","1499"
"4","Patiala","48979","18","47599","1362"
"5","Amritsar","47432","8","45826","1598"
"6","Bathinda","41790","22","40722","1046"
"7","Hoshiarpur","30958","57","29908","993"
"8","Gurdaspur","22406","9","21594","803"
"9","Fazilka","20282","1","19751","530"
"10","Pathankot","18964","48","18488","428"
"11","Muktsar","18802","2","18276","524"
"12","Kapurthala","17869","3","17310","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","2","15228","381"
"15","Ferozepur","14417","30","13883","504"
"16","Faridkot","13949","5","13625","319"
"17","Ropar","12985","7","12554","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8904","5","8563","336"
"20","Moga","8684","2","8448","234"
"21","Tarn Taran","8065","10","7674","381"
"22","Barnala","5955","6","5705","244"
"","Total","603451","347","586496","16608"
