"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20271","19993","11","267"
"2","Chengalpattu","253371","250605","105","2661"
"3","Chennai","792611","783156","385","9070"
"4","Coimbatore","340949","338238","93","2618"
"5","Cuddalore","75986","75032","58","896"
"6","Dharmapuri","36861","36568","10","283"
"7","Dindigul","39215","38523","27","665"
"8","Erode","136564","135753","77","734"
"9","Kallakurichi","36951","36732","4","215"
"10","Kancheepuram","98386","97070","13","1303"
"11","Kanyakumari","90464","89304","74","1086"
"12","Karur","30282","29894","16","372"
"13","Krishnagiri","62662","62193","97","372"
"14","Madurai","93307","92024","47","1236"
"15","Mayiladuthurai","27467","27089","48","330"
"16","Nagapattinam","26066","25685","6","375"
"17","Namakkal","69817","69254","29","534"
"18","Nilgiris","42937","42694","17","226"
"19","Perambalur","14968","14684","35","249"
"20","Pudukottai","35314","34866","22","426"
"21","Ramanathapuram","25028","24637","22","369"
"22","Ranipet","56710","55916","7","787"
"23","Salem","131891","130065","62","1764"
"24","Sivagangai","25262","24991","52","219"
"25","Tenkasi","33984","33481","13","490"
"26","Thanjavur","93636","92558","37","1041"
"27","Theni","51872","51323","16","533"
"28","Thirupathur","36095","35457","5","633"
"29","Thiruvallur","153750","151802","6","1942"
"30","Thiruvannamalai","68513","67812","16","685"
"31","Thiruvarur","49022","48528","21","473"
"32","Thoothukudi","67461","66951","62","448"
"33","Tirunelveli","66284","65779","60","445"
"34","Tiruppur","132260","131187","20","1053"
"35","Trichy","98306","97086","59","1161"
"36","Vellore","58172","56981","28","1163"
"37","Villupuram","56506","56114","25","367"
"38","Virudhunagar","59690","59091","44","555"
"39","Airport Surveillance 
(International)","1403","1399","3","1"
"40","Airport Surveillance 
(Domestic)","1169","1168","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,91,891","35,52,111","1,732","38,048"
