"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 02-02-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","970","5728","250144","243449[1186]","97.32","967[4]","2082","7452","1088","4803308"
"2","Faridabad","307","2355","124459","121367[1078]","97.52","737[1]","2662","6693","428","3630423"
"3","Hisar","269","1189","60468","58125[168]","96.13","1154[2]","1409","2614","211","2168637"
"4","Sonepat","192","1040","57282","55980[246]","97.73","262","1656","1943","155","2115197"
"5","Karnal","90","831","47650","46232[175]","97.02","587[2]","962","1679","236","2181353"
"6","Panipat","46","532","35703","34521[208]","96.69","650","956","2342","103","1858395"
"7","Panchkula","158","806","43074","41865[351]","97.19","403","737","1055","542","1021777"
"8","Ambala","122","1399","40030","38101[286]","95.18","530","1036","2720","283","1957133"
"9","Sirsa","104","509","32717","31689[71]","96.86","519","1291","1423","188","1810613"
"10","Rohtak","102","705","30993","29737[115]","95.95","534","1382","1837","169","1497080"
"11","Yamunanagar","131","790","29130","27895[57]","95.76","445[2]","1049","1080","203","1732236"
"12","Bhiwani","73","1016","25517","23843[401]","93.44","658[1]","770","1410","93","1626773"
"13","Kurukshetra","81","452","26148","25323[176]","96.84","373","898","2933","150","1353118"
"14","Mahindergarh","62","500","23941","23282[95]","97.25","159[2]","857","2157","360","1241399"
"15","Jind","57","428","23915","22949[35]","95.96","538","1062","1292","45","1560267"
"16","Rewari","76","515","23874","23138[44]","96.92","221","828","2051","394","1433609"
"17","Jhajjar","111","383","22494","21773[105]","96.79","332[1]","975","1263","114","1460934"
"18","Fatehabad","49","372","19772","18908[37]","95.63","492[2]","622","569","30","1146453"
"19","Kaithal","121","655","13850","12839[147]","92.70","356","976","5771","68","1542968"
"20","Palwal","32","173","11959","11633[53]","97.27","153","1471","1689","68","1381468"
"21","Charkhi Dadri","82","412","6723","6171[16]","91.79","140","450","1680","67","806853"
"22","Nuh","32","69","5850","5654[67]","96.65","127","2664","4698","32","1114982"
"Haryana","","3267","20859","955693","924474 [5117]","96.73","10337[17]","26795","56230","5027","39444976"
