"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 02-09-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","119","458","299101","297621[136]","99.51","1022","73","195","1562","5676476"
"2","Faridabad","14","119","135415","134555[51]","99.36","741","58","112","613","4168587"
"3","Hisar","11","68","63752","62505[11]","98.04","1179","465","265","370","2424807"
"4","Sonipat","1","55","59531","59200[12]","99.44","276","42","256","423","2351118"
"5","Karnal","6","23","49828","49205[6]","98.75","600","67","244","651","2456686"
"6","Panchkula","15","65","48208","47723[22]","98.99","420","7","21","167","1175113"
"7","Ambala","7","72","42728","42114[13]","98.56","542","60","127","158","2201875"
"8","Panipat","3","26","36711","36008[16]","98.09","677","17","96","201","2124381"
"9","Sirsa","7","28","34149","33576[12]","98.32","545","33","111","510","1982638"
"10  Rohtak","","5","53","33097","32490[12]","98.17","537","2","27","198","1806618"
"","11  Yamunanagar","5","26","32531","32047[1]","98.51","458","35","112","131","2029760"
"","12  Kurukshetra","2","15","27768","27348[8]","98.49","405","18","95","293","1619582"
"13  Bhiwani","","2","23","27108","26418[10]","97.45","667","6","10","284","1874709"
"14","Jind","2","14","25365","24809[7]","97.81","542","8","78","210","1773191"
"","15  Mahendragarh","2","8","24993","24820[5]","99.31","165","8","38","267","1439968"
"16  Rewari","","0","7","24952","24721[4]","99.07","224","4","13","95","1622106"
"17","Jhajjar","8","29","24070","23682[9]","98.39","353","27","11","107","1628644"
"18  Fatehabad","","2","11","20281","19770[11]","97.48","500[1]","8","45","135","1211513"
"19  Kaithal","","2","15","15161","14772[4]","97.43","374","14","212","1275","1877736"
"20  Palwal","","0","13","13650","13464[7]","98.64","173","14","41","119","1574269"
"21","Charkhi Dadri","12","31","8006","7829[8]","97.79","146","1","54","310","948425"
"22  Nuh","","1","3","6165","6023[1]","97.70","139","0","14","22","1226939"
"Haryana","","226","1162","1052570","1040700[366]","98.87","10685[1]","967","2177","8101","45195141"
