"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","15,616"
"2","Number of persons tested positive today in Tamil Nadu","2,652"
"","Passengers returned from other countries  by 
International airport tested positive today","Oman-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Rajasthan-1"
"","Total","2,654"
"3","Total Number of persons tested positive till date","34,85,429"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","30,545/ 
6,72,77,229@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","30,031/ 
6,60,94,962"
"6","No. of Male / Female / Transgender tested positive today","1,449/1,205/0"
"7","No. of Male / Female / Transgender tested positive till date","20,32,776/14,52,615/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,542/ 
34,31,787"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
