"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
04-01-2022","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","634","184726","181489[150]","98.25","926","2311","19448","14171","4345596"
"2","Faridabad","141","100637","99348[4]","98.72","717","572","15745","14773","3209382"
"3","Hisar","13","54040","52868","97.83","1137","35","24692","10884","1965358"
"4","Sonepat","33","47257","46897[3]","99.24","254","106","14641","13937","1886316"
"5","Karnal","44","40191","39525[11]","98.34","554","112","16825","14827","1968807"
"6","Panipat","15","31225","30523","97.75","638","64","18347","5448","1650353"
"7","Panchkula","94","31187","30549[8]","97.95","382[1]","256","5629","5249","917820"
"8","Ambala","69","30410","29666[8]","97.55","509","235","15250","3127","1832167"
"9","Sirsa","9","29320","28796","98.21","509","15","7927","7700","1664260"
"10","Rohtak","16","25993","25374[2]","97.62","534","68","7629","6535","1336866"
"11","Yamunanagar","10","24733","24254[5]","98.06","414","65","15242","6156","1502315"
"12","Bhiwani","3","22418","21761","97.07","652","5","7786","5163","1499264"
"13","Kurukshetra","7","22226","21815[7]","98.15","358","53","6773","7177","1181984"
"14","Mahindergarh","6","21703","21534","99.22","156","13","5900","4452","1131838"
"15","Jind","3","21225","20678[1]","97.42","533","14","9991","7120","1394304"
"16","Rewari","8","20358","20109","98.78","221","28","7268","5432","1313755"
"17","Jhajjar","10","18893","18521[2]","98.03","328","38","6291","7487","1301725"
"18","Fatehabad","9","17893","17398","97.23","482","13","4904","7769","1038439"
"19","Kaithal","3","11264","10904","96.80","347[1]","13","16431","3119","1395749"
"20","Palwal","5","11038","10877","98.54","153","8","9871","6867","1202036"
"21","Charkhi Dadri","0","5084","4940","97.17","139","5","7524","1772","733956"
"22","Nuh","0","5021","4891","97.41","123","7","3944","8231","892049"
"Haryana","","1132","776842","762717[201]","98.18","10066[2]","4036","248058","167396","35364339"
