"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 19-09-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","30","152","299945","298769 [47] ↑","99.61%","1024 [1] ↑","27","84","391","5703148"
"2","Faridabad","4","33","135563","134789 [4] ↑","99.43%","741","9","38","134","4177250"
"3  Hisar","","2","14","63823","62627 [1] ↑","98.13%","1182","13","115","220","2431327"
"4","Sonipat","0","6","59570","59288 [1] ↑","99.53%","276","8","127","49","2356235"
"5","Karnal","0","11","49860","49249 [2] ↑","98.77%","600","97","277","169","2464500"
"6","Panchkula","3","19","48312","47872 [9] ↑","99.09%","421","4","2","30","1176984"
"7","Ambala","3","27","42804","42235 [6] ↑","98.67%","542","7","61","60","2206045"
"8","Panipat","0","8","36741","36056 [8] ↑","98.14%","677","32","42","113","2129040"
"9","Sirsa","1","11","34206","33649 [3] ↑","98.37%","546","20","56","104","1986806"
"10  Rohtak","","1","12","33150","32584 [4] ↑","98.29%","537","19","28","333","1811505"
"","11  Yamunanagar","2","20","32620","32142 [5] ↑","98.53%","458","26","202","95","2036895"
"12  Kurukshetra","","2","7","27788","27375","98.51%","406","13","54","223","1624964"
"13  Bhiwani","","2","8","27150","26475 [5] ↑","97.51%","667","16","53","228","1879885"
"14","Jind","4","12","25403","24847","97.81%","544 [1] ↑","92","49","170","1779609"
"","15  Mahendragarh","0","2","24997","24830 [1] ↑","99.33%","165","398","346","203","1445028"
"16  Rewari","","2","2","24981","24755","99.10%","224","10","21","42","1625301"
"17","Jhajjar","2","7","24089","23722","98.48%","354","3","38","84","1633121"
"18  Fatehabad","","0","0","20286","19786","97.54%","500","11","11","24","1213442"
"19  Kaithal","","5","11","15191","14805","97.46%","375","1","1","288","1890485"
"20  Palwal","","1","5","13656","13477","98.69%","174","4","21","19","1576705"
"","21  Charkhi Dadri","2","14","8068","7907 [2] ↑","98.00%","147","2","18","342","953640"
"22  Nuh","","0","1","6178","6038 [2] ↑","97.73%","139","1","1","1","1227243"
"HARYANA","","66","382","1054381","","1043277 [100] ↑  98.95%  10699 [2] ↑","","813","1645","3322","45329158"
