"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,098"
"2","Number of persons tested positive today in Tamil Nadu","704"
"","Passengers returned from other countries  by 
International airport tested positive today","Singapore-1"
"","Passengers returned from other states  by Road tested 
positive today","Assam-1 
Bihar-1 
Jharkhand-1 
West Bengal-3"
"","Total","711"
"3","Total Number of persons tested positive till date","27,29,061"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,673/ 
5,45,75,400@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,420/ 
5,36,42,248"
"6","No. of Male / Female / Transgender tested positive today","418/293/0"
"7","No. of Male / Female / Transgender tested positive till date","15,92,920/11,36,103/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","314 (69 Govt+ 
245 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","759/ 
26,84,450"
"10","Total number of deaths today/ till date","9(4 Private &  
5 Govt) /36,513)"
