,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7676,7541,129,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,534017,295831,238186,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,12,286,298,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2071070,2054252,14426,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,57128125,33929287,23198838,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,835,2483,3318,164,196,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55246,54923,280,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,1374518,785846,588672,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,82,214,296,3,8,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,615291,606117,6071,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,31514841,20784628,10730213,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,4526,10665,15191,238,184,5,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726185,716484,9663,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,74977706,52439411,22538295,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,24056,31472,55528,3,4,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65400,64552,820,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,1536128,934983,601145,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,87,460,547,2,1,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1006518,992632,13591,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,24322560,15691891,8630669,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,10643,11221,21864,24,19,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,1089506,670015,419491,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,11,46,57,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1440637,1415217,25095,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,21825974,13538669,8287305,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,1144,2359,3503,32,32,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,178645,175022,3377,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,2273242,1275852,997390,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,204,1210,1414,31,33,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
10,Gujarat,827184,816770,10091,2021-11-21,TT,34510413,465662,33922037,2021-11-21 07:11:09.814671,631649378,2021-11-20 00:00:00,1074099,1166174723,766292151,399882572,77041056,45383308,31657748,https://www.icmr.gov.in/,10488,313,12329,582164,298429,880593,5770,29445,35215,36,44,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Gujarat,67936000
