"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","287","404","2271"
"Kollam","163","209","1311"
"Pathanamthitta","97","162","721"
"Alappuzha","90","204","762"
"Kottayam","162","243","1626"
"Idukki","97","211","1285"
"Ernakulam","350","456","2875"
"Thrissur","134","249","1322"
"Palakkad","74","167","56"
"Malappuram","83","186","784"
"Kozhikode","143","212","1243"
"Wayanad","83","130","735"
"Kannur","60","108","647"
"Kasaragod","13","47","187"
"Total","1836","2988","15825"
