"District","Positive 
Cases 
declared 
today","Declared 
Negative 
today","Positive 
cases 
admitted in 
the district","Other Districts"
"Thiruvananthapuram","839","694","8975","Kollam - 79, Pathanamthitta - 19, Alappuzha - 11, 
Kottayam - 9, Idukki - 11, Ernakulam - 7, Thrissur - 4, 
Palakkad - 3, Malappuram - 1, Kozhikode - 2, Kannur - 
3, Kasaragod - 1, Others - 51"
"Kollam","523","1039","5172","Pathanamthitta - 14, Idukki - 1, Ernakulam - 1"
"Pathanamthitta","240","257","2773","Alappuzha - 1, Kottayam - 6, Idukki - 1, Ernakulam - 2, 
Thrissur - 1"
"Alappuzha","267","201","2418","Pathanamthitta - 43, Kottayam - 34, Ernakulam - 3, 
Palakkad - 5, Kannur - 1"
"Kottayam","700","438","5529","Pathanamthitta - 49, Idukki - 43, Ernakulam - 30, 
Thrissur - 1, Kannur - 2"
"Idukki","292","233","3828","Kottayam - 15, Ernakulam - 33"
"Ernakulam","958","634","7915","Pathanamthitta - 7, Kottayam - 5, Idukki - 13, Thrissur - 
1, Palakkad - 5, Wayanad - 1, Kannur - 4, Kasaragod - 2, 
Others - 305"
"Thrissur","760","1014","6645","Kollam - 1, Pathanamthitta - 1, Alappuzha - 1, Kottayam 
- 1, Idukki - 1, Ernakulam - 6, Palakkad - 26, 
Malappuram - 1, Kannur - 1, Others - 1"
"Palakkad","249","228","2035",""
"Malappuram","237","223","2793",""
"Kozhikode","932","372","7718","Thiruvananthapuram - 2, Pathanamthitta - 1, Kottayam 
- 5, Ernakulam - 13, Malappuram - 4, Wayanad - 23, 
Kannur - 61, Kasaragod - 14, Others - 1"
"Wayanad","330","183","2689","Kannur - 3"
"Kannur","437","387","4060",""
"Kasaragod","85","143","1202","Kannur - 1"
"Total","6849","6046","63752",""
