,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2,2021-10-26,HR,Gurugram,,,,181387.0,922.0,180425,,,,,771189,10049,761012,
3,2021-10-26,HR,Faridabad,,,,99891.0,716.0,99152,,,,,771189,10049,761012,
4,2021-10-26,HR,Hisar,,,,53994.0,1136.0,52857,,,,,771189,10049,761012,
5,2021-10-26,HR,Sonepat,,,,47138.0,254.0,46883,,,,,771189,10049,761012,
6,2021-10-26,HR,Karnal,,,,40036.0,552.0,39484,,,,,771189,10049,761012,
7,2021-10-26,HR,Panipat,,,,31149.0,638.0,30510,,,,,771189,10049,761012,
8,2021-10-26,HR,Panchkula,,,,30764.0,378.0,30368,,,,,771189,10049,761012,
9,2021-10-26,HR,Ambala,,,,30149.0,509.0,29638,,,,,771189,10049,761012,
10,2021-10-26,HR,Sirsa,,,,29282.0,508.0,28769,,,,,771189,10049,761012,
11,2021-10-26,HR,Rohtak,,,,25903.0,534.0,25350,,,,,771189,10049,761012,
12,2021-10-26,HR,Yamunanagar,,,,24631.0,414.0,24211,,,,,771189,10049,761012,
13,2021-10-26,HR,Bhiwani,,,,22409.0,652.0,21757,,,,,771189,10049,761012,
14,2021-10-26,HR,Kurukshetra,,,,22147.0,357.0,21789,,,,,771189,10049,761012,
15,2021-10-26,HR,Mahindergarh,,,,21689.0,155.0,21534,,,,,771189,10049,761012,
16,2021-10-26,HR,Jind,,,,21209.0,533.0,20675,,,,,771189,10049,761012,
17,2021-10-26,HR,Rewari,,,,20327.0,221.0,20105,,,,,771189,10049,761012,
18,2021-10-26,HR,Jhajjar,,,,18848.0,328.0,18514,,,,,771189,10049,761012,
19,2021-10-26,HR,Fatehabad,,,,17875.0,481.0,17394,,,,,771189,10049,761012,
20,2021-10-26,HR,Kaithal,,,,11244.0,346.0,10898,,,,,771189,10049,761012,
21,2021-10-26,HR,Palwal,,,,11025.0,153.0,10872,,,,,771189,10049,761012,
22,2021-10-26,HR,Charkhi Dadri,,,,5078.0,139.0,4937,,,,,771189,10049,761012,
23,2021-10-26,HR,Nuh,,,,5014.0,123.0,4890,,,,,771189,10049,761012,
