,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-10-26,KA,Bagalakote,,,,35178.0,333.0,34843.0,,,,,2986517.0,38021.0,2939957.0,
1,2021-10-26,KA,Ballari,,,,97757.0,1689.0,95949.0,,,,,2986517.0,38021.0,2939957.0,
2,2021-10-26,KA,Belagavi,,,,79882.0,938.0,78863.0,,,,,2986517.0,38021.0,2939957.0,
3,2021-10-26,KA,Bengaluru Rural,,,,61988.0,890.0,61056.0,,,,,2986517.0,38021.0,2939957.0,
4,2021-10-26,KA,Bengaluru Urban,,,,1251013.0,16253.0,1228295.0,,,,,2986517.0,38021.0,2939957.0,
5,2021-10-26,KA,Bidar,,,,24340.0,400.0,23933.0,,,,,2986517.0,38021.0,2939957.0,
6,2021-10-26,KA,Chamarajanagara,,,,32997.0,500.0,32456.0,,,,,2986517.0,38021.0,2939957.0,
7,2021-10-26,KA,Chikkaballapura,,,,43941.0,426.0,43493.0,,,,,2986517.0,38021.0,2939957.0,
8,2021-10-26,KA,Chikkamagaluru,,,,51108.0,395.0,50635.0,,,,,2986517.0,38021.0,2939957.0,
9,2021-10-26,KA,Chitradurga,,,,36652.0,206.0,36401.0,,,,,2986517.0,38021.0,2939957.0,
10,2021-10-26,KA,"Dakshina 
Kannada",,,,115339.0,1671.0,113381.0,,,,,2986517.0,38021.0,2939957.0,
11,2021-10-26,KA,Davanagere,,,,50979.0,607.0,50353.0,,,,,2986517.0,38021.0,2939957.0,
12,2021-10-26,KA,Dharwada,,,,60968.0,1313.0,59632.0,,,,,2986517.0,38021.0,2939957.0,
13,2021-10-26,KA,Gadag,,,,26066.0,319.0,25747.0,,,,,2986517.0,38021.0,2939957.0,
14,2021-10-26,KA,Hassana,,,,111676.0,1253.0,110192.0,,,,,2986517.0,38021.0,2939957.0,
15,2021-10-26,KA,Haveri,,,,21946.0,643.0,21300.0,,,,,2986517.0,38021.0,2939957.0,
16,2021-10-26,KA,Kalaburagi,,,,61920.0,819.0,61083.0,,,,,2986517.0,38021.0,2939957.0,
17,2021-10-26,KA,Kodagu,,,,36994.0,329.0,36582.0,,,,,2986517.0,38021.0,2939957.0,
18,2021-10-26,KA,Kolara,,,,46905.0,636.0,46245.0,,,,,2986517.0,38021.0,2939957.0,
19,2021-10-26,KA,Koppala,,,,35198.0,521.0,34657.0,,,,,2986517.0,38021.0,2939957.0,
20,2021-10-26,KA,Mandya,,,,73713.0,650.0,73002.0,,,,,2986517.0,38021.0,2939957.0,
21,2021-10-26,KA,Mysuru,,,,178970.0,2409.0,176278.0,,,,,2986517.0,38021.0,2939957.0,
22,2021-10-26,KA,Raichuru,,,,39972.0,331.0,39639.0,,,,,2986517.0,38021.0,2939957.0,
23,2021-10-26,KA,Ramanagara,,,,24198.0,319.0,23863.0,,,,,2986517.0,38021.0,2939957.0,
24,2021-10-26,KA,Shivamogga,,,,69419.0,1088.0,68194.0,,,,,2986517.0,38021.0,2939957.0,
25,2021-10-26,KA,Tumakuru,,,,120732.0,1126.0,119348.0,,,,,2986517.0,38021.0,2939957.0,
26,2021-10-26,KA,Udupi,,,,76682.0,489.0,76133.0,,,,,2986517.0,38021.0,2939957.0,
27,2021-10-26,KA,Uttara Kannada,,,,56173.0,766.0,55307.0,,,,,2986517.0,38021.0,2939957.0,
28,2021-10-26,KA,Vijayapura,,,,36266.0,495.0,35762.0,,,,,2986517.0,38021.0,2939957.0,
29,2021-10-26,KA,Yadagiri,,,,27545.0,207.0,27335.0,,,,,2986517.0,38021.0,2939957.0,
