,Unnamed: 0,44,Unnamed: 1,हमीरपरु,Unnamed: 2,11,Unnamed: 3,16,Unnamed: 4,5940,Unnamed: 5,0,Unnamed: 6,102,Unnamed: 7,60,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,कुशीनगर,,7.0,,14.0,,16116.0,,1.0,,235.0,,60.0,,,,,
1,,46,,बादा,,3.0,,11.0,,11947.0,,1.0,,166.0,,58.0,,,,,
2,,47,,इटावा,,8.0,,9.0,,15692.0,,0.0,,296.0,,54.0,,,,,
3,,48,,अयोध्या,,10.0,,14.0,,18583.0,,0.0,,292.0,,52.0,,,,,
4,,49,,गाजीपरु,,4.0,,24.0,,23798.0,,0.0,,293.0,,52.0,,,,,
5,,50,,प्रतापगढ़,,4.0,,13.0,,16601.0,,0.0,,163.0,,52.0,,,,,
6,,51,,बस्ती,,5.0,,9.0,,12715.0,,0.0,,336.0,,47.0,,,,,
7,,52,,फर्रखाबाद,,4.0,,11.0,,11815.0,,0.0,,197.0,,45.0,,,,,
8,,53,,मरुादाबाद,,5.0,,14.0,,46011.0,,0.0,,366.0,,45.0,,,,,
9,,54,,कौशाम्बी,,3.0,,3.0,,4787.0,,0.0,,72.0,,44.0,,,,,
10,,55,,मर्रुा,,11.0,,1.0,,25457.0,,0.0,,406.0,,44.0,,,,,
11,,56,,बागपत,,4.0,,2.0,,10969.0,,0.0,,143.0,,41.0,,,,,
12,,57,,बलरामपरु,,1.0,,6.0,,8063.0,,0.0,,139.0,,36.0,,,,,
13,,58,,चदंौली,,2.0,,10.0,,17464.0,,1.0,,378.0,,35.0,,,,,
14,,59,,औरैय्या,,3.0,,13.0,,10731.0,,1.0,,211.0,,34.0,,,,,
15,,60,,सहारनपरु,,6.0,,11.0,,38277.0,,0.0,,426.0,,34.0,,,,,
16,,61,,बललया,,2.0,,0.0,,22478.0,,0.0,,245.0,,33.0,,,,,
17,,62,,सभंल,,2.0,,2.0,,10986.0,,0.0,,109.0,,33.0,,,,,
18,,63,,सतं कबीर नगर,,1.0,,0.0,,8789.0,,0.0,,101.0,,33.0,,,,,
19,,64,,मनैपरुी,,0.0,,4.0,,11408.0,,0.0,,189.0,,31.0,,,,,
20,,65,,शामली,,5.0,,6.0,,16641.0,,0.0,,48.0,,31.0,,,,,
21,,66,,एटा,,2.0,,1.0,,12038.0,,0.0,,100.0,,30.0,,,,,
22,,67,,क्रिरोजाबाद,,5.0,,1.0,,10478.0,,0.0,,136.0,,30.0,,,,,
23,,68,,महोबा,,1.0,,9.0,,4426.0,,0.0,,88.0,,29.0,,,,,
24,,69,,लमर्ापरु,,4.0,,5.0,,11917.0,,1.0,,122.0,,25.0,,,,,
25,,70,,मऊ,,1.0,,5.0,,8899.0,,0.0,,85.0,,22.0,,,,,
26,,71,,चचत्रकट,,4.0,,6.0,,7713.0,,0.0,,79.0,,16.0,,,,,
27,,72,,कासगजं,,1.0,,1.0,,4850.0,,0.0,,55.0,,16.0,,,,,
28,,73,,हार्रस,,0.0,,1.0,,3695.0,,0.0,,43.0,,15.0,,,,,
29,,74,,रामपरु,,1.0,,11.0,,14581.0,,0.0,,153.0,,14.0,,,,,
30,,75,,हापड़ु,,4.0,,3.0,,15154.0,,0.0,,222.0,,13.0,,,,,
31,,Total,,,,,,,861.0,,2320.0,,2029351.0,,7.0,,23419.0,,9492.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23419 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
