"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16962","16684","13","265"
"2","Chengalpattu","176893","172633","1711","2549"
"3","Chennai","569255","552717","7878","8660"
"4","Coimbatore","254018","250408","1089","2521"
"5","Cuddalore","64637","63670","91","876"
"6","Dharmapuri","29040","28698","61","281"
"7","Dindigul","33367","32676","39","652"
"8","Erode","107933","106838","384","711"
"9","Kallakurichi","31683","31396","77","210"
"10","Kancheepuram","76489","74771","450","1268"
"11","Kanyakumari","63393","62019","311","1063"
"12","Karur","25027","24574","88","365"
"13","Krishnagiri","44176","43726","88","362"
"14","Madurai","75817","74466","164","1187"
"15","Mayiladuthurai","23442","23114","8","320"
"16","Nagapattinam","21452","21055","36","361"
"17","Namakkal","54669","53946","205","518"
"18","Nilgiris","34494","34201","73","220"
"19","Perambalur","12189","11888","56","245"
"20","Pudukottai","30398","29959","18","421"
"21","Ramanathapuram","20731","20315","57","359"
"22","Ranipet","43836","42893","164","779"
"23","Salem","102719","100618","371","1730"
"24","Sivagangai","20558","20278","67","213"
"25","Tenkasi","27446","26932","28","486"
"26","Thanjavur","76534","75391","136","1007"
"27","Theni","43645","43099","23","523"
"28","Thirupathur","29505","28831","47","627"
"29","Thiruvallur","121459","118893","701","1865"
"30","Thiruvannamalai","55428","54675","80","673"
"31","Thiruvarur","42072","41544","65","463"
"32","Thoothukudi","56931","56179","340","412"
"33","Tirunelveli","49900","49329","135","436"
"34","Tiruppur","98936","97413","495","1028"
"35","Trichy","79043","77718","221","1104"
"36","Vellore","50895","49282","468","1145"
"37","Villupuram","46196","45747","91","358"
"38","Virudhunagar","46611","45889","173","549"
"39","Airport Surveillance 
(International)","1147","1081","65","1"
"40","Airport Surveillance 
(Domestic)","1095","1084","10","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,60,449","27,07,058","16,577","36,814"
