"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40678","0","40308","3","0","367","0"
"2","Ballari","0","115506","4","113718","25","0","1761","2"
"3","Belagavi","2","100115","3","99082","30","0","1001","2"
"4","Bengaluru Rural","0","79272","0","78355","11","0","906","0"
"5","Bengaluru Urban","99","1780694","116","1762027","1719","2","16947","1"
"6","Bidar","2","29806","0","29380","2","0","420","4"
"7","Chamarajanagara","0","43615","1","43079","1","0","524","11"
"8","Chikkaballapura","1","55617","0","55146","11","0","459","1"
"9","Chikkamagaluru","0","57237","1","56826","5","0","406","0"
"10","Chitradurga","10","46295","6","45997","59","0","239","0"
"11","Dakshina 
Kannada","5","135462","3","133590","23","0","1839","10"
"12","Davanagere","0","57534","1","56907","4","0","623","0"
"13","Dharwada**","1","84062","4","82663","11","0","1382","6"
"14","Gadag","0","30583","0","30248","0","0","335","0"
"15","Hassana","0","143856","3","142544","5","0","1305","2"
"16","Haveri","0","26838","1","26167","3","0","668","0"
"17","Kalaburagi","0","76596","3","75698","18","0","880","0"
"18","Kodagu","3","49263","0","48907","3","0","352","1"
"19","Kolara","1","62981","0","62313","4","0","664","0"
"20","Koppala","0","41281","0","40742","1","0","538","0"
"21","Mandya","2","101480","0","100765","4","0","711","0"
"22","Mysuru","3","229436","0","226829","49","0","2558","0"
"23","Raichuru","0","45446","0","45081","1","0","364","0"
"24","Ramanagara","1","29788","0","29434","7","0","347","0"
"25","Shivamogga","0","83316","8","82158","29","0","1128","1"
"26","Tumakuru","1","159824","2","158591","17","0","1216","0"
"27","Udupi","4","95593","0","95042","5","0","546","0"
"28","Uttara Kannada","4","71159","2","70341","9","0","809","0"
"29","Vijayapura","0","40995","1","40473","4","0","518","0"
"30","Yadagiri","1","29962","3","29746","4","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","140","3944326","162","3902190","2067","2","40028","41"
"*
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
** Non-COVID-19 death reported from Dharwada District.  
 
 
Date: 17-03-2022 
Page 5 of 7","","","","","","","","",""
