"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","281","1122993","1","19647"
"2","Thane","12","120125","0","2289"
"3","TMC","43","199082","0","2177"
"4","Navi Mumbai","59","176383","0","2093"
"5","KDMC","12","178919","0","2978"
"6","Ulhasnagar MC","2","26980","0","685"
"7","Bhivandi Nijampur MC","0","13304","0","496"
"8","Mira Bhayandar MC","13","78951","0","1231"
"9","Palghar","16","65384","0","1244"
"10","Vasai Virar MC","14","101609","0","2174"
"11","Raigad","48","142515","0","3474"
"12","Panvel MC","18","109951","0","1483"
"","Mumbai circle total","518","2336196","1","39971"
"13","Nashik","44","185026","0","3816"
"14","Nashik MC","65","279971","0","4754"
"15","Malegaon MC","0","11088","0","345"
