"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20074","19753","54","267"
"2","Chengalpattu","248393","244139","1596","2658"
"3","Chennai","780781","766952","4760","9069"
"4","Coimbatore","335092","331231","1243","2618"
"5","Cuddalore","74982","73856","231","895"
"6","Dharmapuri","36454","36092","79","283"
"7","Dindigul","38141","37248","228","665"
"8","Erode","133888","132769","385","734"
"9","Kallakurichi","36808","36554","39","215"
"10","Kancheepuram","97047","95495","250","1302"
"11","Kanyakumari","88462","87074","303","1085"
"12","Karur","29980","29559","49","372"
"13","Krishnagiri","60402","59754","278","370"
"14","Madurai","92318","90808","274","1236"
"15","Mayiladuthurai","26843","26392","121","330"
"16","Nagapattinam","25728","25280","73","375"
"17","Namakkal","68774","68020","220","534"
"18","Nilgiris","42549","42246","77","226"
"19","Perambalur","14820","14528","43","249"
"20","Pudukottai","34938","34367","145","426"
"21","Ramanathapuram","24933","24529","36","368"
"22","Ranipet","55215","54215","213","787"
"23","Salem","129210","126929","519","1762"
"24","Sivagangai","24541","24163","159","219"
"25","Tenkasi","33485","32840","155","490"
"26","Thanjavur","92940","91657","243","1040"
"27","Theni","51306","50464","309","533"
"28","Thirupathur","35877","35207","37","633"
"29","Thiruvallur","151845","149545","360","1940"
"30","Thiruvannamalai","67668","66860","123","685"
"31","Thiruvarur","48541","47876","192","473"
"32","Thoothukudi","66638","65947","243","448"
"33","Tirunelveli","64963","64170","348","445"
"34","Tiruppur","130743","129488","203","1052"
"35","Trichy","96985","95562","262","1161"
"36","Vellore","57749","56491","95","1163"
"37","Villupuram","55523","54945","211","367"
"38","Virudhunagar","58505","57399","551","555"
"39","Airport Surveillance 
(International)","1376","1369","6","1"
"40","Airport Surveillance 
(Domestic)","1147","1145","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,36,092","34,83,346","14,714","38,032"
