District,Recovered,Deceased,Active
लखनऊ,294828,2694,274
गौतम बिु नगर,102170,490,232
गाज़ियाबाद,86187,473,109
िाराणसी,97774,988,65
कानपरु नगर,91668,1923,46
जौनपरु,24420,244,26
प्रयागराज,87527,1120,25
झासी,44029,675,21
आगरा,35997,465,16
अलीगढ,25522,113,16
अमरोहा,19298,208,16
हमीरपरु,6224,102,16
हरदोई,17351,375,16
बलुदंशहर,26424,254,14
देवररया,22415,230,13
मथरुा,25655,406,13
राय बरेली,21406,348,13
सोनभद्र,18683,257,13
बाराबकंी,23735,227,12
जालौन,13904,209,12
मरेठ,88220,932,12
महाराजगजं,14801,146,11
उन्नाव,16950,257,11
चदंौली,17575,380,10
फरु्रखाबाद,11883,197,10
कन्नौज,10871,126,10
लललतपरु,14902,134,10
शाहजहांपरु,24433,446,10
बरेली,50120,377,9
इटावा,15790,297,9
गोरखपरु,66004,866,9
बादा,12151,169,8
लखीमपरु-खीरी,30054,300,8
मनैपरुी,11524,189,8
सहारनपरु,38395,428,8
अयोध्या,18698,293,7
चचत्रकूट,7803,79,6
गाजीपरु,23885,295,6
सीतापरु,15770,189,6
सलु्तानपरु,16896,144,6
सभंल,11037,109,4
अम्बडेकर नगर,5973,167,4
आजमगढ़,19463,235,4
