"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","339","1119250","2","19627"
"2","Thane","12","119916","0","2289"
"3","TMC","63","198478","0","2172"
"4","Navi Mumbai","73","175632","0","2092"
"5","KDMC","23","178712","0","2976"
"6","Ulhasnagar MC","4","26923","0","683"
"7","Bhivandi Nijampur MC","1","13293","0","496"
"8","Mira Bhayandar MC","14","78773","0","1227"
"9","Palghar","20","65267","0","1244"
"10","Vasai Virar MC","16","101411","0","2173"
"11","Raigad","48","141929","0","3472"
"12","Panvel MC","33","109671","0","1483"
"","Mumbai circle total","646","2329255","2","39934"
"13","Nashik","29","184453","0","3816"
"14","Nashik MC","45","279253","0","4753"
