"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3059","113535","3017","110506","37","3016","13"
"2","SAS Nagar","5330","101019","5286","99819","20","1168","32"
"3","Jalandhar","2799","81064","2729","79067","42","1982","15"
"4","Patiala","2119","64199","2083","62466","11","1722","11"
"5","Amritsar","1390","60945","1367","59075","6","1846","24"
"6","Bathinda","1561","52428","1544","50987","4","1427","14"
"7","Hoshiarpur","1288","42397","1243","40975","19","1419","3"
"8","Gurdaspur","345","27272","328","26401","7","871","0"
"9","Pathankot","513","25015","478","24493","4","521","1"
"10","Fazilka","498","23930","494","23297","0","621","12"
"11","Muktsar","279","22831","274","22284","3","542","5"
"12","Kapurthala","544","22573","530","21971","8","600","2"
"13","Ropar","1133","19071","1119","18602","4","459","10"
"14","Ferozepur","469","18362","460","17820","3","540","2"
"15","Mansa","191","17416","187","17023","1","392","1"
"16","Faridkot","378","17214","379","16800","3","414","0"
"17","Sangrur","275","14709","267","13840","9","869","0"
"18","SBS Nagar","463","13865","466","13454","0","409","2"
"19","FG Sahib","712","12627","704","12184","1","437","6"
"20","Moga","247","11246","238","10969","6","272","5"
"21","Tarn Taran","151","11051","141","10646","1","399","6"
"22","Barnala","215","7715","209","7347","7","364","4"
"23","Malerkotla","61","4064","58","3849","3","214","1"
"","Total","24020","784548","23601","763875","199","20504","169"
