"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 01-10-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","32","115","300262","299121[15]","99.62","1026","40","71","597","5708517"
"2","Faridabad","5","16","135599","134842[3]","99.44","741","32","32","129","4180191"
"3","Hisar","2","8","63850","62660[2]","98.14","1182","48","40","25","2434537"
"4","Sonipat","0","0","59574","59298","99.54","276","2","9","90","2358362"
"5","Karnal","0","11","49881","49270[1]","98.78","600","8","18","34","2466409"
"6","Panchkula","1","13","48334","47900","99.10","421","2","9","29","1177752"
"7","Ambala","1","4","42821","42275[2]","98.72","542","13","61","32","2208316"
"8","Panipat","0","7","36750","36066","98.14","677","0","5","42","2130037"
"9","Sirsa","1","3","34210","33661","98.40","546","11","30","31","1988243"
"10  Rohtak","","1","9","33167","32604","98.30","537","9","62","60","1813623"
"","11  Yamunanagar","2","5","32671","32208[3]","98.58","458","5","39","1","2039843"
"","12  Kurukshetra","3","7","27810","27396[1]","98.51","407","1","3","70","1626952"
"13  Bhiwani","","0","2","27164","26495","97.54","667","3","3","192","1881046"
"14","Jind","0","1","25405","24860","97.85","544","1","11","58","1781243"
"","15  Mahendragarh","0","2","25001","24834","99.33","165","4","2","121","1447474"
"16  Rewari","","0","0","24985","24761[2]","99.10","224","22","9","221","1628190"
"17","Jhajjar","2","7","24097","23730","98.48","354","3","1","92","1634240"
"18  Fatehabad","","3","4","20294","19790","97.52","500","0","0","0","1214237"
"19  Kaithal","","0","2","15196","14818","97.51","376","2","39","215","1895959"
"20  Palwal","","0","1","13657","13480","98.70","176","3","6","14","1577700"
"21","Charkhi Dadri","0","0","8070","7923","98.18","147","3","24","377","954820"
"22  Nuh","","0","1","6179","6039","97.73","139","1","2","0","1227284"
"Haryana","","53","218","1054977","1044031[29]","98.96","10705","213","476","2430","45374975"
